認定番号,業者名,所在地
342,アオ急代行,福井市
289,アクト運転サービス,福井市
77,アポロ運転代行,福井市
388,アンジュ代行サービス,福井市
279,安全運転代行,福井市
303,イーグル代行,福井市
375,上代行,福井市
310,運転代行スリースター,福井市
5,（有）運転代行マナー,福井市
401,ＭＦＫ運転代行,福井市
322,Ｍ-１代行,福井市
329,エンジェル運転代行,福井市
309,オーシャン運転代行福井,福井市
382,ＣＡＰＳＵＬＥ運転代行,福井市
268,キング運転代行,福井市
378,Ｋ－Ｇ運転代行,福井市
302,ＳＡＫＡＥ代行,福井市
258,さくら運転代行,福井市
87,サンライフ代行,福井市
294,JOTO運転代行,福井市
370,maquis代行,福井市
99,DAIKO西武,福井市
357,ターキ運転代行,福井市
202,チェリー運転代行,福井市
59,とよしま運転代行,福井市
195,和代行,福井市
400,ＨＡＮＡ運転代行,福井市
364,日之出運転代行,福井市
266,福井運転代行イエロー,福井市
148,福井代行,福井市
105,ふる里運転代行,福井市
162,古ちゃん代行,福井市
237,ホープ運転代行,福井市
259,マルフク運転代行,福井市
235,みなと運転代行,福井市
214,ラッキー運転代行,福井市
363,ラビット代行,福井市
359,リラックス,福井市
331,令和運転代行,福井市
398,エンパシー代行,大野市
335,上庄代行,大野市
25,サービス運転代行,大野市
17,(有)シャーク運転代行サービス,大野市
325,代行かご屋,大野市
394,美翔運転代行,大野市
58,プロ運転代行,大野市
252,ワイズ代行,大野市
267,OSALU代行,勝山市
298,シャーク代行３,勝山市
345,Daifuku代行,勝山市
328,アミューズ代行,坂井市
197,あわらゼブラ運転代行,坂井市
150,SS代行,坂井市
336,K’s代行サービス,坂井市
49,CORUM,坂井市
391,３３代行,坂井市
393,近運転代行,坂井市
343,BUTLER,坂井市
337,Pretty代行,坂井市
338,まな運転代行,坂井市
372,ミラクル代行,坂井市
315,ＲＥＯＮ運転代行,坂井市
292,はなまる代行,坂井市
373,ヒマワリ代行,坂井市
277,山ちゃん代行,坂井市
405,ORDER,坂井市
365,エディ運転代行,あわら市
124,クラブ運転代行,あわら市
354,セフティー運転代行,あわら市
269,ピース代行,あわら市
358,ひとつ運転代行,あわら市
147,フェニックス代行,あわら市
187,ほり運転代行,あわら市
251,Y's company's,あわら市
360,あかね運転代行,鯖江市
305,アスカドライバーＳＳ,鯖江市
377,運転代行Ｗｅｓｔ,鯖江市
339,運転代行ネオセブン,鯖江市
82,シオン運転代行,鯖江市
362,Smilie+代行,鯖江市
300,ハートフル代行,鯖江市
234,ヒカリ運転代行サービス３,鯖江市
211,無限運転代行,鯖江市
63,越前代行,越前町
356,運転代行トキワ,越前市
361,FT代行,越前市
397,Anytime運転代行,越前市
376,ＭＫ運転代行,越前市
404,さくちゃん代行,越前市
286,Ｊ運転代行,越前市
284,しきぶ運転代行,越前市
349,シーマ代行３,越前市
333,ゼブラ運転代行アルファ,越前市
185,代行ツバメ,越前市
348,タク代行,越前市
177,椿運転代行,越前市
15,ヒノ運転代行,越前市
403,ひまわり代行,越前市
396,メルちゃん代行,越前市
383,ヤシロ運転代行,越前市
355,ゆき代行２,越前市
344,RYO-MA運転代行,越前市
406,たくら運転代行,南越前町
402,カバオ代行,敦賀市
257,０３６代行,敦賀市
152,（有）スマイル代行,敦賀市
51,ハッピー代行,敦賀市
387,マルキリ運転代行,敦賀市
347,利休運転代行社,敦賀市
280,レディース代行,敦賀市
399,キャロル運転代行,美浜町
395,おおぞら代行,小浜市
317,(株)ＯＫ運転代行,小浜市
295,REINAN,小浜市
324,REINANⅡ,小浜市
209,ミスター運転代行,高浜町
253,TOWA,おおい町
350,若狭代行,おおい町
