認定番号,業者名,所在地
2,（株）オートライフヨシムラ,中津川市
4,関代行,関市
10,グリーン代行,岐阜市
13,岐阜代行運転,岐阜市
14,代行屋近藤,郡上市
23,有限会社高山代行運転組合,高山市
33,マーブル代行運転,大垣市
40,中坪代行センター,郡上市
57,ひまわり代行,海津市
69,アミュー代行運転,川辺町
73,ドリーム代行,大垣市
84,KIサービス,郡上市
86,代行運転のテールライト,多治見市
98,たるい代行,垂井町
103,セブン代行,揖斐川町
104,株式会社 平成代行,岐阜市
110,エース代行運転,大垣市
111,はっちゃん代行,池田町
112,アクセス代行,各務原市
113,一休運転代行,美濃市
115,すばる代行,関市
126,ゴリラ代行,岐阜市
127,丸杉代行,郡上市
133,小瀬代行,関市
150,株式会社 セーフティ,岐阜市
163,ハッピー代行,安八町
167,ハート代行運転,多治見市
170,しらかば代行,高山市
171,二光代行,関市
178,クリスタル代行,岐阜市
182,アッシー代行,大垣市
187,岐阜シティ代行,岐阜市
188,キング代行,大垣市
192,中濃代行,関市
202,ろけっと代行,瑞穂市
206,A代行,可児市
210,コロコロ運転代行,大野町
212,あっ！代行,岐阜市
215,代行ハート,大垣市
216,龍神代行,多治見市
220,セブン代行,各務原市
222,らくぞう代行,大垣市
227,Ｔ．Ｓ代行,養老町
232,アトム代行運転社,大垣市
234,郡上代行運転,郡上市
235,代行ｈａｎａ,郡上市
237,昭和代行,岐阜市
243,サンシャイン昼代行,岐阜市
244,ニコニコ代行社,岐阜市
245,キング代行本巣,本巣市
247,運転代行青信号,可児市
251,あんしん代行,岐阜市
252,ＨＹ代行,羽島市
259,イケメン代行,岐南町
263,ピジョン代行,可児市
264,えびす代行株式会社,各務原市
265,Ｅ代行,岐阜市
267,（株）さくら代行,各務原市
270,グッドラック代行,岐阜市
271,りんりん代行,多治見市
273,ｔｂ代行,大垣市
274,ＳＯＲＡ,恵那市
277,Ｒｕｓｈ代行,瑞穂市
278,岐阜れいわ代行,恵那市
279,ダイコウＺ,高山市
281,バロック,多治見市
282,どんぐり代行,大垣市
283,ドライバーズ岐阜代行,岐阜市
285,まごころ代行,岐南町
290,クリーン代行,岐阜市
291,ACE運転代行,大野町
292,take you home,可児市
293,Gifu Star代行,瑞穂市
294,中部代行,笠松町
296,ケンタマ代行,美濃加茂市
297,タカラ代行,羽島市
298,あいらぶ代行,北方町
299,FM運転代行,関市
302,ＦＲＯＳＣＨ,郡上市
303,９２３代行,各務原市
304,りんどう代行,大垣市
305,みっぱら代行,岐阜市
307,ミケネコ代行,神戸町
308,Bell代行,羽島市
309,とらねこ代行,多治見市
311,おっっ！！ふくすけ代行だ,岐阜市
312,民救運転代行,瑞浪市
313,Ｓ-１,恵那市
