認定番号,業者名,所在地
1,プロフェッショナル運転代行 【（株）プロサービス】,金沢市
2,（有）百万石代行運転,金沢市
13,大和あんしん運転代行 【大和タクシー（株）】,金沢市
14,マルゼン代行社,鳳珠郡穴水町
17,（有）ドリーム運転代行,金沢市
22,駅前さくら代行運転 【北陸さくら交通（株）】,金沢市
23,北日本代行,小松市
36,石川代行,羽咋郡志賀町
40,ムーン代行 【金城交通（株）】,金沢市
48,（有）サンクス運転代行,かほく市
51,Ｃ シー Ｓ エ １ ス １ ワン １ ズ 【（有）金沢進開運送】,金沢市
68,あさがお代行,白山市
74,安心代行運転,輪島市
75,ミリオン代行,金沢市
78,いでゆ代行,小松市
87,ピース運転代行,金沢市
88,久保運転代行,七尾市
90,（株）トマト代行運転,小松市
95,スターダスト運転代行,金沢市
99,ＯＫ運転代行,金沢市
106,金沢セイフティ代行,金沢市
109,マックワン運転代行 【（株）まっくプロ】,金沢市
111,大八代行,羽咋郡宝達志水町
114,エムズ運転代行,金沢市
122,ダッシュ代行,金沢市
125,ＡＢＣ運転代行 【ヒューコムテック（株）】,金沢市
126,マリオ代行,金沢市
127,かほく運転代行,かほく市
129,スペース運転代行 【（株）スペース運転代行】,野々市市
132,かなざわ代行運転,野々市市
135,能登運転代行 【（有）能登交通】,鳳珠郡能登町
149,タウン代行運転 【（株）タウン】,小松市
153,サザン代行,金沢市
156,Ｎｅｗカトちゃん代行,金沢市
166,矢車運転代行,野々市市
178,運転代行新選組 【(株)新選組】,白山市
179,安全運転代行,金沢市
185,有限会社あおぞら代行,小松市
188,みすと代行 【株式会社ミスト】,金沢市
192,ＡＡＡ代行サービス 【ネクスト株式会社】,河北郡津幡町
196,どらごん運転代行 【有限会社助格】,金沢市
198,尾山運転代行,金沢市
200,ゆきしろ運転代行,白山市
202,ハッピ～ｅ代行 【ハッピー代行株式会社】,白山市
204,３３運転代行,金沢市
207,オンリーワン運転代行,加賀市
210,運転代行Ｖｅｎｕｓ,金沢市
211,小松ピーチ運転代行,小松市
213,セレクト代行運転 【株式会社セレクト】,小松市
214,ラパン代行 【合同会社TAKAO】,白山市
215,アクセス運転代行 【株式会社アクセスフィールド】,金沢市
217,東京運転代行,加賀市
219,ニュー日本海代行,金沢市
220,ジュピター 【株式会社ジュピター】,金沢市
224,かがやき代行,小松市
225,ＮＥＯひかり運転代行,金沢市
227,わくら代行運転 【株式会社藤里山サービス】,七尾市
228,レインボー運転代行,金沢市
229,エイト代行,白山市
234,ＮＡＯ運転代行,金沢市
238,白山ひかる代行,白山市
240,東山代行,金沢市
242,美奈斗運転代行,加賀市
244,KAGA代行 【株式会社コータ】,加賀市
247,ヤマト代行,能美市
251,フレンド代行運転,金沢市
254,アサヒ運転代行,金沢市
257,クロス運転代行,金沢市
258,クラフト代行,野々市市
259,REQUEST,金沢市
263,北斗代行,金沢市
266,こまなん代行 【株式会社こまなん代行】,小松市
267,アカリ運転代行,白山市
268,駅前カエル代行 【カエルマネジメント合同会社】,七尾市
269,ステラ運転代行,金沢市
270,キララ運転代行,野々市市
272,キング代行,野々市市
273,運転代行サポーターズ,金沢市
275,代行屋本舗ｔｈｅ１ｓｔ,金沢市
276,ＳｉＮＳＥＮ代行,白山市
277,七福代行,七尾市
279,パートナー代行運転,金沢市
280,クライム代行 【有限会社室谷合繊】,かほく市
281,ＫＩＺＵＮＡ代行 【株式会社ｌｉｅｎ】,加賀市
282,Ｋちゃん代行 【株式会社オール・ビジネス】,野々市市
283,アイムワン運転代行 【心育国際株式会社】,金沢市
284,７３代行,金沢市
285,アデイ運転代行 【合同会社アデイ】,金沢市
286,すなちゃん運転代行,羽咋市
288,あすなろ運転代行,金沢市
289,セフティＯＮＥ代行,金沢市
290,つかさ運転代行,野々市市
291,だるま運転代行,金沢市
