認定番号,業者名,所在地
8,有限会社 チームワーク,福知山市
29,新たんご代行,福知山市
34,安全代行,伏見区
43,宝サービス,西京区
46,ｍｉ代行,舞鶴市
58,代行運転Peace,京丹後市
65,運転代行みやび,右京区
67,庵サービス,亀岡市
69,オレンジ運転代行,福知山市
71,ラッキー代行社,亀岡市
79,８８２３（はやぶさ）代行,京丹後市
84,運転代行クイック 大山崎営業所,乙訓郡大山崎町
85,株式会社翔英 ＥＩ代行福知山営業所,福知山市
86,アシスタント代行運転,八幡市
89,福綾代行,綾部市
90,代行かごや,伏見区
91,ハクション運転代行,伏見区
94,三葉代行,京丹後市
96,運転代行 ＢＲＡＶＥ,左京区
97,運転代行 トラスト,南区
98,運転代行 エース,左京区
100,運転代行パール,木津川市
101,運転代行みなと,舞鶴市
102,京滋代行サービス,綴喜郡宇治田原町
104,運転代行ナイト,南区
105,あんしん代行,福知山市
106,SAVER代行,山科区
107,ぶんぶん代行,右京区
108,幸来代行,綾部市
109,運転代行社 安全カエル,宇治市
110,大丸総合商事株式会社（大丸代行）,福知山市
111,株式会社SENGAコーポレーション（運転代行千雅）,南区
112,株式会社英雄（運転代行ヒーロー）,中京区
113,Ｆ＆Ａ代行,福知山市
114,エス代行,綾部市
115,新しあわせ代行,京丹後市
116,相根代行,福知山市
117,わんわん代行,舞鶴市
118,有限会社リフォミック・ジャパン（JIN代行２ND）,伏見区
