認定番号,業者名,所在地
1,代行運転ガードマン,四日市市（１０）
2,運転代行なな,四日市市（１０）
3,運転代行チェリー,四日市市（１０）
4,宝運転代行サービス,四日市市（１０）
5,運転代行上昇,四日市市（１０）
6,運転代行DAIKOU,四日市市（１０）
7,運転代行ハヤイヤカー,四日市市（１０）
8,運転代行朱雀,四日市市（１０）
9,運転代行ファースト,四日市市（１０）
10,ピットイン代行,四日市市（１０）
11,運転代行ナイト,三重郡菰野町（３）
12,国土代行,三重郡菰野町（３）
13,Ｈ’ｓカンパニー運転代行かもしか,三重郡菰野町（３）
14,運転代行ドラゴン,亀山市（１）
15,代行運転アーネス,鈴鹿市（１３）
16,富士運転代行,鈴鹿市（１３）
17,運転代行トップ,鈴鹿市（１３）
18,運転代行キング,鈴鹿市（１３）
19,運転代行えふわん,鈴鹿市（１３）
20,ＭＫ代行,鈴鹿市（１３）
21,運転代行光,鈴鹿市（１３）
22,ＮＥＸＴ運転代行,鈴鹿市（１３）
23,運転代行セレクト,鈴鹿市（１３）
24,株式会社ツインラン,鈴鹿市（１３）
25,運転代行チョロ急,鈴鹿市（１３）
26,みけねこ運転代行,鈴鹿市（１３）
27,フラワー代行,鈴鹿市（１３）
28,スリーエイトアクトサービス,津市（１３）
29,キャリーロードサービス,津市（１３）
30,青空,津市（１３）
31,運転代行エス・ワイ,津市（１３）
32,ＳＯＳ運転代行,津市（１３）
33,はやぶさ運転代行,津市（１３）
34,どんぐり代行,津市（１３）
35,運転代行安心,津市（１３）
36,運転代行天・ＴＥＮ,津市（１３）
37,Ｇ’ｓ代行,津市（１３）
38,Ｔ＆Ｍ代行サービス,津市（１３）
39,モンキー運転代行,津市（１３）
40,ドレミ運転代行,津市（１３）
41,エース運転代行,松阪市（９）
42,ＭＹ運転代行,松阪市（９）
43,アクアドライバーズサポート,松阪市（９）
44,アイリス運転代行,松阪市（９）
45,エリー代行,松阪市（９）
46,ドライブサポートワクワク,松阪市（９）
47,代行屋,松阪市（９）
48,有限会社明豊自動車,松阪市（９）
49,あさラバ運転代行,松阪市（９）
50,サクラ代行,多気郡多気町（３）
51,ユアサ運転代行,多気郡多気町（３）
52,アシストライン,多気郡多気町（３）
53,代行運転ウィン,伊勢市（４）
54,代行キーパー,伊勢市（４）
55,代行運転やがちゃん,伊勢市（４）
56,おくちゃん運転代行,伊勢市（４）
57,運転代行ノア,度会郡玉城町（１）
58,有限会社西山産業,志摩市（１）
59,尾鷲代行,尾鷲市（１）
60,代行舎,熊野市（５）
61,運転代行山久,熊野市（５）
62,運転代行紀州,熊野市（５）
63,代行Ｋ,熊野市（５）
64,ＧＯＧＯ代行,熊野市（５）
65,スマイル運転代行サービス,伊賀市（１１）
66,運転代行社にんにん,伊賀市（１１）
67,運転代行エース,伊賀市（１１）
68,運転代行みっきぃ,伊賀市（１１）
69,運転代行ノア,伊賀市（１１）
70,運転代行グッド,伊賀市（１１）
71,運転代行ＮＥＸＴ,伊賀市（１１）
72,タカオ代行,伊賀市（１１）
73,ＫＤサービス,伊賀市（１１）
74,ＬＧ代行,伊賀市（１１）
75,888運転代行,伊賀市（１１）
76,ゼロ代行サービス,名張市（６）
77,サポート代行,名張市（６）
78,代行一番,名張市（６）
79,あいぼう代行,名張市（６）
80,くまさん代行,名張市（６）
81,有限会社 創研,名張市（６）
