認定番号,業者名,所在地
2,あさひ代行,長野市大字鶴賀９０番地４
12,安全代行,長野市大字鶴賀田町２１７７番地４
28,ちとせ代行,長野市大字鶴賀南千歳町９８２
34,あさひ代行,長野市柳原２１４２番地１
37,代行チューリップ,長野市南千歳町２丁目１５番１５号
38,ロイヤル代行,長野市大字南長野妻科１３５番地
45,しなの代行,長野市伊勢宮３丁目１番２５号
68,こだま代行,長野市大字鶴賀２１６番地
122,アッシーくん代行,長野市戸隠豊岡１０２２５番地
147,代行ウイング,長野市三輪９丁目８番１７号
168,代行イレブン,長野市大字鶴賀西鶴賀町１４７３
186,シャトル代行,長野市三輪５丁目５番０３０９号
230,代行あっぷる,長野市大字東和田７６３番地１０
263,スター代行,長野市三輪３丁目２番１号
356,代行川合,長野市大字稲葉５４１番地
370,サポート代行,長野市
373,代行エンドレス,長野市
374,代行ストロング,長野市大字広瀬５５８番地１
389,ファースト代行,長野市大字高田８４９番地１
420,信州代行,長野市
421,代行ピース,長野市戸隠栃原３１４１番地
426,令和代行,長野市
432,代行Ｅｉｇｈｔｙ８,長野市
441,Ｍｙ代行,長野市南千歳２丁目１５番１５号
462,ブロード代行,長野市大字稲葉２４７１番地７
474,代行ＭＡＭＡ,長野市大字南長池７６０番地４
485,代行ななせ,長野市
496,コスモ代行,長野市大字鶴賀上千歳町１４１３番地
497,ネクシア代行,長野市大字高田４２０番地
502,代行ながの,長野市大字金箱３８０番地６
510,瑠華運転代行,長野市若穂綿内７９５８番地５
56,代行ゲット,下高井郡木島平村大字往郷１６５９番地
200,トラスト代行,飯山市大字蓮４２１１
220,代行センター,飯山市大字飯山６６４番地１
242,呑んだら代行,中野市大字岩船４４０番地４
351,ＦｕＭｉ代行,下高井郡山ノ内町大字戸狩５７３番地１
387,代行マタリキ,中野市大字穴田３２０６番地１
138,翼代行,須坂市豊島２番地２
221,絆代行,須坂市大字小河原２５８９番地
245,代行フク,須坂市墨坂南５丁目８番１６号
354,モンキー代行,須坂市
362,武蔵代行,須坂市大字須坂立町１３４４番地２
486,ぴぃち代行,須坂市臥竜二丁目２番６号
490,ZERO代行,上高井郡小布施町大字小布施９１１番地
49,フリー代行,長野市松代町西条４２５９番地
51,キング代行,長野市篠ノ井布施高田１１４２番地２５
248,デイリー代行,長野市川中島町御厨１９５番地１
369,代行ハクナ,長野市篠ノ井布施五明３３８番地３
379,キング代行Ｇ－１,長野市篠ノ井布施高田１１４２番地２５
409,ユニオン代行,長野市
428,代行アリス,長野市青木島町大塚４９１番地２
448,ハッピー代行,長野市三本柳西３丁目２０番地
477,あすなろ代行,長野市青木島町青木島乙６３７番地１
491,ももいろ代行,長野市篠ノ井石川1509番地
504,代行ネギネギ,長野市篠ノ井有旅６４３６番地
50,代行ひまわり,千曲市大字稲荷山５１２番地１
231,代行しののい,千曲市大字上徳間２７９番地１
300,代行ゆき,千曲市大字寂蒔６２５番地
318,むさしの代行,埴科郡坂城町
406,ＧＯＧＯ代行,千曲市大字鋳物師屋６３７番地３
495,クローバー代行,千曲市若宮６４番地４
3,下道運転代行社,上田市中之条１０１１番地１０９
18,代行センターあさま,上田市大字中之条１３００番地８
26,つばさ代行,上田市大字下之郷７０４番地５
127,えっちゃん代行,上田市中央北２丁目８番２７号
148,めいせい代行,上田市
169,あいの代行,上田市蒼久保７５７番地２
204,桃太郎代行,上田市芳田１２８２番地
253,セーフティ代行,上田市中央２丁目７番４号
273,代行ゆきむら,上田市真田町本原２７４９番地
278,正村運転代行社,上田市中央２丁目１８番３４号
328,生島代行,上田市浦野４５８番地７
407,マリア代行,小県郡青木村大字当郷１５９５番地
408,寿代行,上田市緑が丘１丁目２３番１号
460,東御代行,東御市加沢５５８番地１
461,久保代行,上田市上田１４０６番地５
472,ワールド代行,東御市滋野乙２９９１番地１４
473,リアル代行,上田市
481,アプローチ代行,上田市
499,ホース代行,上田市上田１１３０番地１２
501,Ａエース運転代行,上田市中之条１３００番地４６
506,エイト代行,東御市祢津1788番地１
511,ＣＫ代行,上田市
516,リアル代行,上田市
234,愛、たいら代行,小諸市大字森山５４１番地４
327,Ｂ－ｏｎｅ代行,小諸市
425,Ｍ．Ｔ代行,小諸市大字滋野甲８７１番地１
479,ミヤ代行,小諸市大字山浦２７３番地１
505,三六九運転代行,小諸市
23,ひかり代行,佐久市大字中込３７１３番地４９
179,代行．サポート,佐久市岩村田４４９６番地５
251,ＰＳ代行ドライビングサービ,佐久市塚原１５７９番地７
256,サカ代行サービス,北佐久郡御代田町大字御代田２７１４番地
377,ウエスト代行,佐久市
415,中央代行,佐久市臼田２２０３番地７
429,代行アクティブ,佐久市御馬寄８９７番地２０
439,結代行,佐久市岩村田２５６９番地１
457,代行オリーブ．Ａ,佐久市高柳２６３番地
468,ラーチ代行,佐久市岩村田１３１０番地１
470,代行ななちゃん,佐久市岩村田１９１０番地２
475,代行ブルー,佐久市根岸181番地７
488,あんしん代行,佐久市中込２９７９番地１
489,黒兎代行,北佐久郡御代田町大字御代田２４２２－５
494,Ｉ．あさま代行,佐久市岩村田1890番地７
514,うすだＫ代行,佐久市新子田９４６番地６
515,ＨＡＮＥ代行,北佐久郡立科町大字塩沢７８７番地１
237,流星代行,北佐久郡軽井沢町
290,はやぶさ代行,北佐久郡軽井沢町
360,プレミアム代行,北佐久郡軽井沢町大字発地１６６番地５
144,あい運転代行,茅野市大字中大塩１１番地２０
344,銀河運転代行,茅野市宮川１３８７番地６
392,あい運転代行合同会社,茅野市中大塩１２番地６
467,運転代行さくら,茅野市中大塩8番地６
500,ばいくる代行,茅野市
422,ドライブアシスト運転代行,諏訪市四賀赤沼１６７１
444,ＳＫ代行,諏訪市四賀９０番地１
465,絢瀬代行,諏訪市
22,有限会社エース代行岡谷,岡谷市堀ノ内１丁目１９番３号
368,平成代行,岡谷市赤羽１丁目５番２４号
175,もみじ運転代行,上伊那郡箕輪町大字中箕輪１０３６４番地
259,与作運転代行,伊那市上牧６４７８番地９
280,伊北代行,上伊那郡箕輪町大字中箕輪１４７１２番地
294,松チャン運転代行,上伊那郡南箕輪村１７３３番地３
438,南信代行ｓｅｒｖｉｃｅ,伊那市上の原５３４７－６
492,コスモ代行,伊那市中央５１５５番地１
503,月光運転代行,伊那市富県４９１０番地３
298,こま代行,駒ケ根市赤穂１２８２３番地１
357,代行,駒ケ根市上穂南５番２２号
412,ＳＫＹ代行,駒ケ根市中沢１２７０２番地５
509,ナイト代行,駒ヶ根市
85,ドリーム運転代行,下伊那郡高森町
152,シティー代行,飯田市大瀬木４１０９番地１
440,飯田運転代行センター,飯田市北方２２９番地３
482,深夜代行,飯田市龍江４５番１
487,Ｋ．Ｔ代行,飯田市
493,エース代行飯田,飯田市鼎名古熊２５４１－１
508,ヒッシー代行,飯田市
271,代行ＳＳＳ（スリーエス）,塩尻市大字下西条６６０番地３
