認定番号,業者名,所在地
64-0001,運転代行ｻｰﾋﾞｽﾌﾟｯｼｭｵﾝ,奈良市
64-0087,運転代行123,奈良市
64-0096,やまちゃん運転代行ｻｰﾋﾞｽ,奈良市
64-0129,ライフ運転代行,奈良市
64-0153,アート運転代行サービス,奈良市
64-0156,奈良運転代行ＧＯＯ,奈良市
64-0171,Ｄ＆Ｍ代行,奈良市
64-0181,運転代行光翔,奈良市
64-0199,奈良運転代行,奈良市
64-0203,運転代行バンビ,奈良市
64-0225,運転代行ひらしょう奈良,奈良市
64-0232,代行そのだ,奈良市
64-0193,運転代行Hｏｎｅｙ,大和高田市
64-0207,J代行,大和高田市
64-0226,代行金魚,大和高田市
64-0231,運転代行レインボー,大和高田市
64-0064,大亀代行,大和郡山市
64-0176,中和代行,天理市
64-0214,運転代行Tommy,天理市
64-0218,運転代行Ｆｉｖｅ,天理市
64-0177,運転代行一番星,橿原市
64-0200,STYLE.tt,橿原市
64-0204,イーグル代行社,橿原市
64-0212,DAXI,橿原市
64-0213,運転代行優斗,橿原市
64-0234,ＡＣＴ運転代行,橿原市
64-0235,運転代行瞬足,橿原市
64-0237,Ｒｅ：ＳＴＹＬＥ,橿原市
64-0211,さくら運転代行,桜井市
64-0224,運転代行Ａｃｅ,桜井市
64-0229,とみしょうⅡ,桜井市
64-0142,ふくろう代行,五條市
64-0095,運転代行ﾌﾟｰ,御所市
64-0102,運転代行ﾌﾗﾜｰ,御所市
64-0151,代行フレンズ,御所市
64-0160,代行キャンディー,御所市
64-0168,スマイルα,御所市
64-0169,運転代行First,御所市
64-0192,運転代行フラワー＋,御所市
64-0210,運転代行フラワーpro,御所市
64-0021,ﾗﾝﾃﾞｨｰ,生駒市
64-0033,ﾜｲﾝﾃﾞｨﾝｸﾞﾛｰﾄﾞ,香芝市
64-0048,香芝代行,香芝市
64-0053,ﾃｨｱｽ運転代行,香芝市
64-0238,運転代行Ｌｉｎｋ,葛城市
64-0071,運転代行ｱﾝｼﾞｭ,宇陀市
64-0162,３５運転代行,生駒郡三郷町
64-0239,OG運転代行,北葛城郡王寺町
64-0167,運転代行スイッチ,磯城郡田原本町
64-0217,運転代行一心,磯城郡田原本町
64-0227,運転代行Ｃｕｂｅ,磯城郡田原本町
64-0175,ハマー,高市郡高取町
64-0052,運転代行ｱｸｱ,北葛城郡広陵町
64-0163,株式会社ｱｯﾌﾟ代行ｻｰﾋﾞｽ,北葛城郡広陵町
64-0205,運転代行和己,北葛城郡広陵町
64-0113,運転代行悟空,吉野郡吉野町
64-0134,オレンジ代行,吉野郡大淀町
64-0184,代行屋グリット,吉野郡大淀町
