認定番号,業者名,所在地
460003,中央代⾏新潟,新潟市中央区
460074,(有)コバト交通 （はと代⾏）,新潟市中央区
460087,アポロ運転代 ⾏社,新潟市中央区
460208,ホワイト代⾏ 社,新潟市中央区
460277,ドリーム代⾏,新潟市中央区
460331,昭和代⾏,新潟市中央区
460377,フラッシュ代 ⾏,新潟市中央区
460418,(株)SDC（SDC 代⾏センター）,新潟市中央区
460434,SS運転代⾏,新潟市中央区
460461,(株)新潟第⼀Ｓ ｅｒｖｉｃｅ （新潟第⼀運 転代⾏）,新潟市中央区
460465,飲んだら代⾏,新潟市中央区
460471,新潟運転代⾏ 帰宅便,新潟市中央区
460472,テンピークス代 ⾏,新潟市中央区
460559,YK代⾏,新潟市中央区
460560,88運転代⾏,新潟市中央区
460562,(株)中央代⾏新 潟,新潟市中央区
460613,ふるまち代⾏,新潟市中央区
460615,あやめ運転代 ⾏,新潟市中央区
460619,柳都運転代⾏,新潟市中央区
460623,Niigata Chauffeur Service,新潟市中央区
460624,萬代運転代⾏,新潟市中央区
460633,越後代⾏,新潟市中央区
460204,ひまわり代⾏,新潟市東区
460261,彗星代⾏,新潟市東区
460301,新潟代⾏,新潟市東区
460423,バーディー代⾏,新潟市東区
460563,共和代⾏,新潟市東区
460597,トップ代⾏,新潟市東区
460612,アップル代⾏,新潟市東区
460626,代⾏Hondells,新潟市東区
460631,ＢｏｎＢｏｎ 運転代⾏,新潟市東区
460205,新潟⻄代⾏,新潟市⻄区
460211,ｋｉｋｉ代⾏ 社,新潟市⻄区
460230,PKS運転代⾏,新潟市⻄区
460457,エンジェル代 ⾏,新潟市⻄区
460464,ＩＣ⽔都,新潟市⻄区
460498,代⾏屋⼩町,新潟市⻄区
460502,(株)クリア（ク リア代⾏新潟）,新潟市⻄区
460549,令和⻄代⾏,新潟市⻄区
460556,(株)KTM（とき 代⾏）,新潟市⻄区
460579,オレンジ代⾏,新潟市⻄区
460600,ユアーズ代⾏,新潟市⻄区
460607,Ｔ‧Ｔ代⾏,新潟市⻄区
460610,ホワイト代⾏,新潟市⻄区
460632,Ａｎｇｅｌ代 ⾏,新潟市⻄区
460530,合同会社トラ スト（さくら 代⾏）,新潟市江南区
460605,株式会社代⾏ 新⻲（代⾏Ｎ ｉｉＫａｍｅ）,新潟市江南区
460625,ツバサ代⾏,新潟市江南区
460143,トマト運転代 ⾏,新潟市北区
460302,常誠代⾏,新潟市北区
460404,未来代⾏,新潟市北区
460477,新潟東代⾏,新潟市北区
460417,新潟コミタス 代⾏,新潟市北区
460581,ノース代⾏,新潟市北区
460582,(株)セーフティ ECO（令和代 ⾏）,新潟市北区
460627,ハマタクシー 株式会社（ハ,新潟市北区
460179,(株)茜ドライビ ングサービス,新発⽥市
460214,(有)紫運転代⾏,新発⽥市
460251,昴代⾏,新発⽥市
460279,あすか運転代 ⾏,新発⽥市
460304,愛運転代⾏,胎内市
460335,希望代⾏,胎内市
460483,ひよこ運転代 ⾏,胎内市
460496,ミッキー代⾏,胎内市
460500,⼆番運転代⾏,新発⽥市
460509,Ｌ‧Ｃ‧Ｃ(株) （アルビ運転 代⾏）,北蒲原郡聖籠町
460522,トナカイ代⾏,胎内市
460535,スカイ代⾏,胎内市
460561,あおい運転代 ⾏,新発⽥市
460569,（有）ほんま 商店（なかが わ代⾏）,新発⽥市
460577,藤運転代⾏,新発⽥市
460584,アヤメ運転代 ⾏,胎内市
460601,新潟サポート 代⾏,新発⽥市
460602,ダイワサービ ス（株）（ダイ ワ代⾏サービ ス）,新発⽥市
460043,運転代⾏ケーズ,村上市
460296,アスナロ代⾏,村上市
460338,(株)あこちゃん 代⾏,岩船郡関川村
460573,運転代⾏ジャ パン,村上市
460020,笹神運転代⾏ 社,阿賀野市
460237,あがのタクシ ー(株)（あがの 代⾏）,阿賀野市
460528,MAX運転代⾏,阿賀野市
460596,天朝運転代⾏,阿賀野市
460286,ドリーム運転代 ⾏,東蒲原郡阿賀町
460223,(有)アサヒ運転 代⾏,五泉市
460326,練⾺だいこん 代⾏,五泉市
460380,いずみ運転代 ⾏,五泉市
460455,五泉さくら代 ⾏,五泉市
460480,MAX代⾏ GOSEN,五泉市
460501,(有)ピー‧エス （KAERU代⾏）,五泉市
460567,バーディー代⾏ 五泉,五泉市
460580,チャボス代⾏,五泉市
460583,運転代⾏サー ビスイレブン,五泉市
460307,あきは運転代 ⾏,新潟市秋葉区
460400,アサヒ代⾏,新潟市秋葉区
460479,いろは代⾏,新潟市秋葉区
460521,ND代⾏,新潟市秋葉区
460620,アーク代⾏,新潟市秋葉区
460629,ＣＵ代⾏,新潟市秋葉区
460168,(株)県央代⾏,三条市
460207,新潟運転代⾏ (株),三条市
460365,陸送代⾏,三条市
460386,ゼロ運転代⾏ (株),三条市
460490,MY代⾏,三条市
460494,エム運転代⾏,三条市
460495,アクト運転代⾏,三条市
460506,四ツ葉代⾏,三条市
460608,つばさ代⾏ （株）（つばさ 代⾏）,三条市
460141,平成代⾏,新潟市南区
460212,ラッキー代⾏,新潟市南区
460303,フルサト運転 代⾏,新潟市南区
460534,TC代⾏,新潟市南区
460594,(株)As（ピーチ II代⾏）,新潟市南区
460378,中之⼝代⾏,新潟市⻄蒲区
460520,ワタナベ運転 代⾏,⻄蒲原郡弥彦村
460543,エス代⾏,新潟市⻄蒲区
460564,ファースト代⾏,新潟市⻄蒲区
460576,エイト代⾏,⻄蒲原郡弥彦村
460598,ビー運転代⾏,新潟市⻄蒲区
460621,イーグルマキ 代⾏,新潟市⻄蒲区
460078,スワロー代⾏,燕市
460280,ゆう代⾏,燕市
460305,安⼼代⾏,燕市
460525,RISE代⾏,燕市
460558,分⽔代⾏,燕市
460586,Sunny代⾏,燕市
460229,寿代⾏,加茂市
460297,(株)Ｔ’ｓ ＬＯ ＶＥ（トンち ゃん代⾏）,南蒲原郡⽥上町
460308,みなみ運転代 ⾏,南蒲原郡⽥上町
460315,マルカツ運転代 ⾏,加茂市
460473,ハナハナ運転 代⾏,加茂市
460611,英和興業（株） （英和運転代 ⾏）,加茂市
460616,（合）オール ジャパン新潟 （くろふね代 ⾏）,南蒲原郡⽥上町
460368,フラワー,⻑岡市
460463,パワーズ運転代 ⾏,⾒附市
460484,リーチ運転代 ⾏,⻑岡市
460539,(株)Serve（さ くら代⾏）,⻑岡市
460551,ラッキー代⾏ ⾒附,⾒附市
460595,まこと運転代 ⾏,⾒附市
460145,とちおニコニ コ運転代⾏,⻑岡市
460247,(有)あおぞら運 転代⾏,⻑岡市
460347,(株)スパイラル （ハッピー運 転代⾏）,⻑岡市
460396,ＤＡＩＫＯＵ,⻑岡市
460437,⻘葉代⾏,⻑岡市
460469,運転代⾏Ａｃ ｅ,⻑岡市
460545,れもん運転代 ⾏,⻑岡市
460550,GLOBAL運転代 ⾏,⻑岡市
460575,⼤光株式会社 （⼤光運転代 ⾏）,⻑岡市
460618,こぶた代⾏,⻑岡市
460622,ふくふく代⾏ サービス,⻑岡市
460628,アシスト代⾏,⻑岡市
460630,すぎちゃん代 ⾏,⻑岡市
460430,ＯＮＥ代⾏,⼩千⾕市
460149,グリーン代⾏,⿂沼市
460041,塩沢ダイコー,南⿂沼市
460045,Ｓ＆Ｐダイコ ーサービス,南⿂沼郡湯沢町
460051,(有)新伸代⾏,南⿂沼市
460095,いずみダイコ ー,南⿂沼市
460032,(有)ミナミ運転 代⾏,⼗⽇町市
460090,中央代⾏,⼗⽇町市
460094,⿂沼ダイコー,中⿂沼郡津南町
460360,北⽃代⾏,⼗⽇町市
