認定番号,業者名,所在地
620196,レイナマリーン,高槻市高西町2-29
620436,運転代行エル,高槻市千代田町1-1-607
620052,神愛グループ株式会社,摂津市新在家2-17-18
620003,株式会社大阪代行運転センター,吹田市江坂町4-23-7-108
620138,株式会社エイチ・アイ・シー,吹田市春日1-4-13-102
620663,ルーカンパニ－,吹田市山田東2-10-8
620535,Ｆｅ代行,箕面市船場西2-3-9-B1
620584,ジャニス運転代行サービス,箕面市半町2-19-25
620645,プレミアムOSAKA代行,箕面市小野原東6-34-7-A1
620472,アート代行センター,池田市鉢塚3-10-22
620628,ＺＡＮ代行,池田市城山町1-18
620382,株式会社ＷＯＮＤＥＲ,豊中市新千里西町1-1-10-1332
620605,代行 ＲｅＬＡＸ,豊中市刀根山3-7-43
630223,アーヴァン代行センター,豊中市北条町2-12-14-2
620536,グリッド運転代行,羽曳野市栄町10-8
620546,SG代行,羽曳野市伊賀3-15-19
620200,アシストライフ,富田林市津々山台4-5-18
620576,コージー運転代行便利社,富田林市若松町4-14-39
620638,マスター代行,富田林市甲田3-10-27
620166,雅代行,東大阪市新池島町2-5-8
620032,有限会社グランソフィアコーポレーション,東大阪市川田4-1-38
620401,運転サービス代行屋さん,東大阪市島之内2-5-6
620237,プラチナ代行,東大阪市衣摺1-3-10
620415,高商,東大阪市永和2-21-7
620625,BLUE代行,東大阪市上四条町3-8
620632,アスク代行サービス,東大阪市末広町3-4-205
620636,ZEAL,東大阪市善根寺町1-9-8
620051,株式会社山口本店とまと代行サービス,八尾市福栄町1-2-2
620482,セイワ代行サービス,八尾市植松町8-2-2-701
620586,ヒロ運転代行サービス,八尾市恩智中町5-92
620640,リライド,八尾市福万寺町北2-36-1
620218,えびす代行サービス,松原市西野々1-10-2-214
620534,堺 Ｃｉｔｙ Ｄｒｉｖｉｎｇ Ｓｅｒｖｉｃｅ,松原市南新町5-6-7
620619,運転代行Ｌｕｃｋｙ,松原市三宅中5-5-11
620654,ふろっぐ運転代行,松原市北新町1-3-18
620554,エルスト代行サービス,柏原市本郷5-191-1
620596,E．T代行サービス,柏原市本郷5-191-1
620034,運転代行ひらかた,枚方市出口2-14-3
620155,株式会社ダーナ・ケアー運転代行えにし,枚方市出口3-22-10
620192,運転代行ほたる,枚方市山之上北町23-10
620491,運転代行にゃんこ猫娘,枚方市津田駅前1-2-5
620549,あゆ運転代行,枚方市津田南町1-3-10
620562,安全運転代行かきのき,枚方市長尾西町2-14-9
620581,あかり運転代行サービス,枚方市野村中町51-5
620621,ＪＩＮ代行,枚方市藤阪元町2-38-8
620646,ファイン代行,枚方市牧野阪2-7-33-206
620551,アンカー運転代行,交野市私市5-7-13
620454,運転代行かたやま,寝屋川市梅が丘1-17-1-709
620655,寿運転代行,寝屋川市田井西町15-11
620255,アシスト代行,大東市三箇6-20-20
620579,安全サポート運転代行,門真市大池町36-6-303
620604,大阪セントラル代行,門真市松生町2-15
620181,ＡＳＴ,守口市金田町3-15-8
620258,ドリーム運転代行,守口市金田町2-28-17
620559,ちゃん代行,高石市綾園3-5-28-C
620570,福一代行,高石市高師浜1-20-5
620597,スカイ運転代行,高石市取石4-8-24-202
620637,CONNECT,高石市東羽衣1-6-2
620661,Ｓｋｙ代行,高石市西取石7-18-17-B105
620443,安心セーフティ,泉大津市旭町22-20-16
620493,ニコニコ運転代行,泉大津市下之町4-29
620600,まごころ運転代行,泉大津市下之町4-8-B101
620545,ひまり運転代行サービス,泉大津市綾井18-1-105
620607,SORA運転代行,泉大津市助松町（以下不掲載）
620648,ONE運転代行,泉大津市上之町6-21-109
620383,きゃんでぃ運転代行,泉北郡忠岡町忠岡中3-4-7
620644,ゼロサービス,泉北郡忠岡町北出3-3-30-106
620622,代行ＫＡＺＵ,泉北郡忠岡町高月北１-１-16
620148,アイム運転代行,和泉市伏屋町3-11-3 大植ガレージ④・⑤
620327,ラビット代行,和泉市箕形町4-6-85
620368,アップ運転代行,和泉市寺門町1-8-2
620432,マキオ,和泉市北田中町212-2
620437,ミント,和泉市春木町919-2
620462,株式会社モコ代行本店,和泉市東阪本町307-21
620501,ＢＥＡＴ代行,和泉市黒鳥町1-10-17
620531,ゴールド代行,和泉市内田町2-6-13
620572,タッチスマート運転代行,和泉市太町300
620595,運転代行Ｎ,和泉市一条院町141-2
620611,ｃｈａｎ代行,和泉市光明台2-4-6-2
620616,Ｇ－ＳＵＮ代行,和泉市黒鳥町3-21-3-402
620630,GOGO代行,和泉市はつが野３-40-2
620620,株式会社アルファ代行,和泉市箕形町4-6-85
620660,パロット運転代行,和泉市箕形町2-12-19
620664,泉州代行,和泉市寺田町2-8-56
620107,ファミリー代行,岸和田市吉井町3-23-11-501
620175,えびす代行,岸和田市包近町223
620197,ＪＰ南大阪代行運転サービス,岸和田市作才町1-2-12-203
620234,いずみ代行,岸和田市今木町366-201
620254,千亀利運転代行サービス,岸和田市土生町3-3-9-307
