認定番号,業者名,所在地
第２号,びわこ代行運転,東近江市御園町
第３号,セイフティー代行,近江八幡市末広町
第４号,ナウ代行サービス（有）,高島市新旭町旭
第８号,（有）プロテック・アエイ,野洲市西河原
第１１号,八日市代行社,東近江市高木町
第４２号,ドリーム運転代行,甲賀市水口町水口
第４４号,ジャパン代行,彦根市後三条町
第５６号,ひまわり代行,近江八幡市白鳥町
第７０号,トップ,野洲市北野
第９０号,TＹ運転代行,湖南市下田
第１０６号,（株）Ｎｅｗ Ｓｔａｒ運転代行,長浜市上野町
第１０８号,幸代行,大津市伊香立下龍華町
第１１９号,アクセス運転代行,栗東市綣
第１２１号,ＴＲＹ運転代行,東近江市小今町
第１２２号,ベスト代行,近江八幡市安土町西老蘇
第１２３号,ｙａｚｏｓａｎ運転代行,甲賀市土山町鮎河
第１２４号,四つ葉運転代行,湖南市岩根
第１３６号,あかね運転代行,東近江市市子殿町
第１４７号,すずか運転代行社,甲賀市甲賀町神
第１５７号,ハナハナ代行運転,近江八幡市安土町桑実寺
第１６５号,とまと代行,守山市守山
第１６６号,運転代行かがやき,野洲市堤
第１７４号,騾馬,守山市石田町
第１７５号,PLUS運転代行,近江八幡市緑町
第１７７号,エール代行,東近江市種町
第１８０号,クローバー代行サービス,長浜市神照町
第１８１号,かえる代行,東近江市五個荘七里町
第１８４号,隼代行,彦根市宇尾町
第１８６号,蔵ｚｏｕ代行,湖南市岩根
第１８８号,フクロウ運転代行,守山市大門町
第１９２号,ＡＢ運転代行サービス,湖南市岩根
第１９３号,運転代行ナイトライダー,大津市坂本
第１９７号,マルキュウ代行,草津市矢橋町
第１９８号,デルタ代行,栗東市荒張
第１９９号,ハイエナ運転代行,草津市矢倉
第２００号,（株）ＺＥＲＯ,栗東市下鈎
第２０１号,Ｗｉｌｌ代行,彦根市南川瀬町
第２０３号,HAAKEN代行,草津市南笠東
第２０５号,運転代行フリーダム,栗東市安養寺
第２０７号,だるま代行,彦根市日夏町
第２１０号,和代行,近江八幡市安土町常楽寺
第２１２号,Ａ－Ｓ代行,彦根市川瀬馬場町
第２１３号,みつばち運転代行,守山市古高町
第２１５号,Ｋ ｏｆｆｉｃｅ,湖南市柑子袋東
第２１６号,アクア代行,彦根市南川瀬町
第２１８号,淡海運転代行,草津市野路
第２２０号,セブン,大津市坂本
第２２２号,あおぞら代行,長浜市八幡東町
第２２３号,Ｒａ’ｓ運転代行社,長浜市列見町
第２２４号,長浜運転代行,長浜市小野寺町
第２２６号,野洲代行,野洲市栄
第２２７号,ヤング代行,長浜市曽根町
第２２８号,リーゼント代行,栗東市大橋
第２２９号,運転代行占華,東近江市八日市東本町
第２３０号,Ｔｗｉｎ運転代行,大津市衣川
第２３１号,アールズ代行,栗東市小柿
第２３２号,ＯＰ代行,大津市あかね町
第２３３号,運転代行みずどり,栗東市御園
第２３４号,運転代行Go’ｓ代行,大津市瀬田
第２３５号,ワン・ツー代行,栗東市荒張
第２３６号,マルトミ代行,長浜市大辰巳町
第２３７号,てち代行,東近江市八日市清水
第２３８号,KAKERU代行,湖南市石部中央
第２３９号,ユーキ代行,近江八幡市丸の内町
第２４０号,運転代行Ｋ３,彦根市西今町
第２４１号,めるも運転代行,甲賀市水口町山
第２４２号,マッスル代行,東近江市東沖野
第２４３号,ルパン代行,彦根市河原
第２４４号,運転代行ＧＯ（ジオ）,東近江市五個荘石塚町
第２４５号,心運転代行,湖南市水戸町
第２４６号,ＤＫ代行,大津市北大路
第２４７号,アイム代行,長浜市法楽寺町
第２４８号,レクレス運転代行,野洲市木部
第２４９号,ＡＳＯＢＩ運転代行,大津市大萱
第２５０号,ヤスクル運転代行,長浜市南高田町
第２５１号,いちご運転代行,長浜市高月町
