認定番号,業者名,所在地
4,ひよこ代行,高岡
5,有限会社新和サービス商会（しんわ代行）,高岡
6,Ｄ．Ｄ．Ｓ,射水
10,ことぶき代行,砺波
16,富士代行,魚津
25,マリン代行,氷見
36,ふちゅう代行,富山西
42,上滝代行,富山中央
62,有限会社ササヨシ（ササヨシ運転代行）,富山南
64,エコー運転代行,富山西
66,アルプス代行,上市
74,アイリス代行,氷見
75,フラワー代行,高岡
82,丸の内代行運転,富山中央
94,ニコニコ代行,富山西
99,有限会社マックス,高岡
106,アジア代行,富山中央
112,小矢部代行,小矢部
127,ＳＳ商事代行部,富山西
128,Ｇ・Ｍ代行,滑川
154,セーフティ代行,高岡
156,あさくら代行,射水
169,ゼロ代行,富山中央
182,すばる代行,高岡
183,ぴよぴよ代行,富山南
192,めおと代行運転サービス,富山西
202,アルファ代行,高岡
223,龍代行,南砺
233,田中代行,富山南
247,ヒデちゃん代行,魚津
252,ニコちゃん代行,黒部
258,かご家代行,富山西
261,ＪＯＹ代行,滑川
264,ふるさと代行,上市
265,有限会社大田建材運輸（Ｓｍｉｌｅ）,富山中央
272,Ｓｅｃｒｅｔ代行,射水
273,アルファー代行,富山中央
274,サンダーバーズ代行,富山南
275,クール代行,富山中央
277,ホタルイカ代行,富山中央
284,運転代行社ブルーバード,富山中央
289,ＣＭ運転代行,富山中央
296,ひみ代行,氷見
302,大月代行,富山中央
304,クロバ代行２,富山中央
308,ハート代行,富山西
315,高陵代行,高岡
328,ＧＯＧＯ代行,富山中央
340,アレックス代行,射水
343,株式会社ＫＢＳコーポレーション （運転代行ＫＵＲＯＢＵＴＡ）,富山中央
346,フェイス代行,砺波
347,城南交通株式会社（城南代行）,富山南
348,Ｈａｐｐｙ代行,富山西
351,Ｔ・Ｓ代行,富山西
355,８４運転代行,富山南
357,Ｅ－代行,富山南
358,まいど代行,射水
359,マイティ代行,射水
360,ＢＵＢＵ代行,射水
362,高岡１０８代行,高岡
363,ＡＢＣ代行,高岡
370,丸神代行,富山西
371,ピンズ代行,上市
376,株式会社ａｑｕａ（ａｑｕａ北陸）,魚津
381,ＭＵＵＮ代行,上市
385,有限会社グリーン商事（グリーン代行）,砺波
387,あっぷる代行,魚津
393,ＰＲＥＭＩＵＭ ＶＩＰ代行,富山中央
394,株式会社ＴＭＴサービス（ダイヤモンド代行）,富山中央
400,運転代行社バッテリー,高岡
401,Ｅ，Ｙ運転代行,富山南
402,ＢＩＧ ＭＯＯＮ,富山中央
404,昭和代行,黒部
411,Ｐ・Ｆ代行,富山中央
414,運転代行まいったー,射水
415,キャッシュバック代行,富山中央
416,Ａ代行,高岡
418,Ａｃｔｉｎｇ,富山南
421,あい代行,富山南
422,レインボー代行,高岡
423,ヤマト代行,富山中央
424,株式会社酔助代行,射水
428,ＬｉｑｕｏｒＢｕｄｄｙ代行,上市
434,Ｇ．Ｉ商事株式会社（げんちゃん代行）,高岡
435,合同会社アシスト,高岡
436,めんどり代行,高岡
438,日星代行運転,富山中央
440,ふしき代行,高岡
441,アーバン代行,富山西
442,ハロー代行,滑川
443,たくみ代行運転サービス,富山南
444,ＬＩＮＥ代行,富山中央
447,Peach代行,富山中央
448,ファミリイー代行,高岡
451,いちご代行,上市
453,新栄くろべ代行,黒部
456,Ｆ代行,富山南
457,ＭＡＥＫＥＮ代行,富山中央
458,ＫＡＴＵＣＨＡＮ代行,富山中央
460,永合同会社（プライム代行）,上市
461,立山町46代行,上市
462,夢代行,高岡
463,帰りは代行,高岡
464,Ｏ.ＫⅡ代行,富山西
465,かえる急便代行,富山中央
467,マーク代行,富山南
470,ＴＯＹＡＭＡ代行,富山南
471,ＲＯＣＫ代行,高岡
472,ひめちゃん代行,富山南
473,國士舘代行,富山中央
475,ナイト代行２,富山西
478,フリーダム代行,富山南
480,ラッキー代行,高岡
481,中央代行,富山中央
482,大映代行運転,富山南
483,やぎちゃん代行,富山西
484,株式会社チームタカ,富山中央
485,いち・に・さん代行,富山西
486,マリン代行２,富山南
487,東部代行,滑川
489,BOBchan代行,射水
490,クリーンS合同会社 (クリーンＳ代行),魚津
491,ドキドキ代行,富山中央
492,スタジアム代行,富山中央
