認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
2,（株）オートライフヨシムラ,中津川市,0573-66-9111,,3.8,19
4,関代行,関市,0575-28-4994,http://seki-daikou.com/,4.1,16
10,グリーン代行,岐阜市,058-294-6544,,2.7,7
13,岐阜代行運転,岐阜市,058-253-5200,,1,2
14,代行屋近藤,郡上市,0575-82-2058,,4,1
23,有限会社高山代行運転組合,高山市,0577-34-5966,http://www.takayamakankou.com/,4.1,7
33,マーブル代行運転,大垣市,0584-78-7166,,1.7,6
40,中坪代行センター,郡上市,0575-82-2058,,4,1
57,ひまわり代行,海津市,0584-74-1413,,3.5,2
69,アミュー代行運転,川辺町,0574-53-2655,,3,6
73,ドリーム代行,大垣市,0584-83-7778,,3.6,11
84,KIサービス,郡上市,0575-65-2030,,4.7,9
86,代行運転のテールライト,多治見市,0572-25-0708,http://www.catcam.co.jp/toraneko/i/,3.4,7
98,たるい代行,垂井町,,,,
103,セブン代行,揖斐川町,090-7852-0720,,3.3,3
104,株式会社 平成代行,岐阜市,058-267-1838,https://heiseidaikou.jp/,4,27
110,エース代行運転,大垣市,0584-82-6625,https://assi-daikou.kinbosi.com/,3.7,7
111,はっちゃん代行,池田町,,,,
112,アクセス代行,各務原市,0586-89-5099,,3.2,9
113,一休運転代行,美濃市,0575-33-2125,,,
115,すばる代行,関市,,,,
126,ゴリラ代行,岐阜市,058-233-8889,,3,15
127,丸杉代行,郡上市,090-5006-2625,,5,1
133,小瀬代行,関市,0575-28-4994,http://seki-daikou.com/,4.1,16
150,株式会社 セーフティ,岐阜市,0120-449-996,http://www.safety-gifu.com/,3.9,14
163,ハッピー代行,安八町,0584-82-2213,,,
167,ハート代行運転,多治見市,090-8070-1138,https://www.heart-daikou.com/,3,6
170,しらかば代行,高山市,0577-34-5966,http://www.takayamakankou.com/,4.1,7
171,二光代行,関市,080-6906-2500,https://nikoudaikou.com/,2.8,20
178,クリスタル代行,岐阜市,0120-810-019,https://www.charter-drivers.com/drivers-gifu,5,4
182,アッシー代行,大垣市,0584-82-6625,https://assi-daikou.kinbosi.com/,3.7,7
187,岐阜シティ代行,岐阜市,090-4466-7111,,,
188,キング代行,大垣市,0584-74-7771,,2,2
192,中濃代行,関市,090-5000-3356,https://www.chunodaiko.com/,3.4,14
202,ろけっと代行,瑞穂市,058-216-2345,,,
206,A代行,可児市,0572-55-7171,http://adaikou.web.fc2.com/,3.5,10
210,コロコロ運転代行,大野町,0584-77-2150,,4,22
212,あっ！代行,岐阜市,058-215-0291,https://attdaikou.wixsite.com/website-1,3.9,22
215,代行ハート,大垣市,080-3689-4050,,5,3
216,龍神代行,多治見市,0572-25-0708,http://www.catcam.co.jp/toraneko/i/,3.4,7
220,セブン代行,各務原市,090-7852-0720,,3.3,3
222,らくぞう代行,大垣市,0584-77-2150,,4,22
227,Ｔ．Ｓ代行,養老町,0120-810-019,https://www.charter-drivers.com/drivers-gifu,5,4
232,アトム代行運転社,大垣市,0584-75-3331,,,
234,郡上代行運転,郡上市,0575-82-2058,,4,1
235,代行ｈａｎａ,郡上市,0575-82-2058,,4,1
237,昭和代行,岐阜市,058-267-1838,https://heiseidaikou.jp/,4,27
243,サンシャイン昼代行,岐阜市,090-1232-0600,https://www.sunshine-hirudaikou.com/,5,2
244,ニコニコ代行社,岐阜市,058-233-8889,,3,15
245,キング代行本巣,本巣市,058-323-6866,,3.1,8
247,運転代行青信号,可児市,090-8070-1138,https://www.heart-daikou.com/,3,6
251,あんしん代行,岐阜市,058-275-0319,https://anshindaikougifu.wixsite.com/anshindaikou,1,1
252,ＨＹ代行,羽島市,058-322-9300,http://www.hy-enjoy.com/,4.3,18
259,イケメン代行,岐南町,090-4183-4021,https://daikonavi.com/gifu/t009616/,2,4
263,ピジョン代行,可児市,0574-49-8835,,1,1
264,えびす代行株式会社,各務原市,058-322-6886,https://ebisu-daikou.jbplt.jp/,3.9,45
265,Ｅ代行,岐阜市,080-9506-7000,,3.6,5
267,（株）さくら代行,各務原市,058-372-4370,,4.8,12
270,グッドラック代行,岐阜市,,https://untendaikou.co.jp/gifuken/driver-9843,,
271,りんりん代行,多治見市,0572-25-0708,http://www.catcam.co.jp/toraneko/i/,3.4,7
273,ｔｂ代行,大垣市,0584-77-2150,,4,22
274,ＳＯＲＡ,恵那市,0573-58-0133,https://diningbar-sora.com/,4.5,14
277,Ｒｕｓｈ代行,瑞穂市,058-267-1838,https://heiseidaikou.jp/,4,27
278,岐阜れいわ代行,恵那市,0120-810-019,https://www.charter-drivers.com/drivers-gifu,5,4
279,ダイコウＺ,高山市,0577-34-5966,http://www.takayamakankou.com/,4.1,7
281,バロック,多治見市,0572-26-7034,http://o2.baroque.bar/,1,1
282,どんぐり代行,大垣市,0584-77-2150,,4,22
283,ドライバーズ岐阜代行,岐阜市,0120-810-019,https://www.charter-drivers.com/drivers-gifu,5,4
285,まごころ代行,岐南町,0725-30-5028,,2.6,5
290,クリーン代行,岐阜市,090-6089-3339,https://www.instagram.com/clean_665223?igsh=MTl1NjVmajAxZm1oOA%3D%3D&utm_source=qr,3.9,13
291,ACE運転代行,大野町,,,,
292,take you home,可児市,090-1279-0680,https://instagram.com/kitchenbubu_kani?igshid=MTIzZWMxMTBkOA==,4.8,12
293,Gifu Star代行,瑞穂市,,,,
294,中部代行,笠松町,058-267-1838,https://heiseidaikou.jp/,4,27
296,ケンタマ代行,美濃加茂市,090-2173-4567,https://z33cq.crayonsite.net/p/2/,5,5
297,タカラ代行,羽島市,0120-400-770,http://0120400770.com/,4.3,11
298,あいらぶ代行,北方町,058-215-0291,https://attdaikou.wixsite.com/website-1,3.9,22
299,FM運転代行,関市,090-7211-7878,,5,1
302,ＦＲＯＳＣＨ,郡上市,090-1985-8052,https://frosch-sensha.studio.site/,5,3
303,９２３代行,各務原市,050-8887-2492,https://untendaikou.co.jp/gifuken/driver-9885,4.2,6
304,りんどう代行,大垣市,0584-77-2150,,4,22
305,みっぱら代行,岐阜市,058-267-1838,https://heiseidaikou.jp/,4,27
307,ミケネコ代行,神戸町,090-6384-1234,https://mikenekodaikou.jimdofree.com/,,
308,Bell代行,羽島市,,,,
309,とらねこ代行,多治見市,0572-25-0708,http://www.catcam.co.jp/toraneko/i/,3.4,7
311,おっっ！！ふくすけ代行だ,岐阜市,080-1560-9351,https://gifu-untendaikou.hp.peraichi.com/,3.7,3
312,民救運転代行,瑞浪市,080-7093-1212,https://minkyu-trans.com/,5,1
313,Ｓ-１,恵那市,090-7851-1595,https://rvpark-s-craft.github.io/rvpark-s-craft/,5,5
