認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
1,プロフェッショナル運転代行 【（株）プロサービス】,金沢市,0120-298-000,http://www.proservice.jp/,3.1,68
2,（有）百万石代行運転,金沢市,076-243-6800,,,
13,大和あんしん運転代行 【大和タクシー（株）】,金沢市,076-221-5188,,2.4,7
14,マルゼン代行社,鳳珠郡穴水町,0768-52-3301,,,
17,（有）ドリーム運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
22,駅前さくら代行運転 【北陸さくら交通（株）】,金沢市,076-222-4242,https://hokurikusakurakoutsuu.jimdofree.com/,2.2,66
23,北日本代行,小松市,0761-22-5699,,3.3,8
36,石川代行,羽咋郡志賀町,0120-895-770,https://untendaikou.co.jp/ishikawaken/driver-5958/?gmb,2.7,3
40,ムーン代行 【金城交通（株）】,金沢市,076-252-1200,http://www.kinjou.co.jp/,1.5,8
48,（有）サンクス運転代行,かほく市,0120-073-839,,3,6
51,Ｃ シー Ｓ エ １ ス １ ワン １ ズ 【（有）金沢進開運送】,金沢市,076-237-6883,,2,1
68,あさがお代行,白山市,076-275-8677,http://oyako-asagao.com/,4,5
74,安心代行運転,輪島市,0120-939-715,,,
75,ミリオン代行,金沢市,053-568-0429,https://million-2265.com/,3.9,19
78,いでゆ代行,小松市,0120-245-380,,2,2
87,ピース運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
88,久保運転代行,七尾市,0120-140-770,,,
90,（株）トマト代行運転,小松市,0120-503-661,http://tomato-daikou.com/,3.5,19
95,スターダスト運転代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
99,ＯＫ運転代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
106,金沢セイフティ代行,金沢市,076-251-9873,,,
109,マックワン運転代行 【（株）まっくプロ】,金沢市,076-292-7997,,,
111,大八代行,羽咋郡宝達志水町,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
114,エムズ運転代行,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
122,ダッシュ代行,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
125,ＡＢＣ運転代行 【ヒューコムテック（株）】,金沢市,076-209-5181,,4,1
126,マリオ代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
127,かほく運転代行,かほく市,0120-073-839,,3,6
129,スペース運転代行 【（株）スペース運転代行】,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
132,かなざわ代行運転,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
135,能登運転代行 【（有）能登交通】,鳳珠郡能登町,0768-76-1243,http://www.notokoutsu.com/,3,5
149,タウン代行運転 【（株）タウン】,小松市,0120-960-537,http://www.town-daiko.jp/sp/shop/3333/,4.3,11
153,サザン代行,金沢市,076-295-7901,,4,1
156,Ｎｅｗカトちゃん代行,金沢市,070-9016-7373,,,
166,矢車運転代行,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
178,運転代行新選組 【(株)新選組】,白山市,076-274-0251,http://yasukesa.com/shinsengumi/,1,1
179,安全運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
185,有限会社あおぞら代行,小松市,0761-24-2022,,5,1
188,みすと代行 【株式会社ミスト】,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
192,ＡＡＡ代行サービス 【ネクスト株式会社】,河北郡津幡町,080-6369-0070,,,
196,どらごん運転代行 【有限会社助格】,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
198,尾山運転代行,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
200,ゆきしろ運転代行,白山市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
202,ハッピ～ｅ代行 【ハッピー代行株式会社】,白山市,0800-200-0755,https://happy-daiko-1.jimdosite.com/,4.4,17
204,３３運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
207,オンリーワン運転代行,加賀市,0120-286-256,,2.7,6
210,運転代行Ｖｅｎｕｓ,金沢市,076-222-0525,http://ran-rainbow-ran.com/,4,1
211,小松ピーチ運転代行,小松市,0761-48-4156,,5,2
213,セレクト代行運転 【株式会社セレクト】,小松市,0761-23-3611,,4,1
214,ラパン代行 【合同会社TAKAO】,白山市,0120-742-880,,,
215,アクセス運転代行 【株式会社アクセスフィールド】,金沢市,080-6363-5025,http://acsess.starfree.jp/access/index.html,,
217,東京運転代行,加賀市,0761-75-7719,,1,1
219,ニュー日本海代行,金沢市,076-256-3899,,,
220,ジュピター 【株式会社ジュピター】,金沢市,075-604-0200,https://www.jupiter.co.jp/,5,1
224,かがやき代行,小松市,0761-24-0004,,2,4
225,ＮＥＯひかり運転代行,金沢市,076-222-0525,http://ran-rainbow-ran.com/,4,1
227,わくら代行運転 【株式会社藤里山サービス】,七尾市,0767-62-1618,,,
228,レインボー運転代行,金沢市,076-222-0525,http://ran-rainbow-ran.com/,4,1
229,エイト代行,白山市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
234,ＮＡＯ運転代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
238,白山ひかる代行,白山市,0120-742-880,,,
240,東山代行,金沢市,,,,
242,美奈斗運転代行,加賀市,0761-72-2573,,2.7,3
244,KAGA代行 【株式会社コータ】,加賀市,0761-76-1010,,2.7,6
247,ヤマト代行,能美市,0120-183-510,,3.5,2
251,フレンド代行運転,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
254,アサヒ運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
257,クロス運転代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
258,クラフト代行,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
259,REQUEST,金沢市,076-266-6000,https://munejyu.com/rakusute?utm_source=google&utm_medium=maps,5,1
263,北斗代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
266,こまなん代行 【株式会社こまなん代行】,小松市,0120-434-588,,3,4
267,アカリ運転代行,白山市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
268,駅前カエル代行 【カエルマネジメント合同会社】,七尾市,0767-53-0355,,3.7,3
269,ステラ運転代行,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
270,キララ運転代行,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
272,キング代行,野々市市,076-246-8100,http://www.kingfamily.co.jp/shop/kanazawanonoichi,3.4,60
273,運転代行サポーターズ,金沢市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
275,代行屋本舗ｔｈｅ１ｓｔ,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
276,ＳｉＮＳＥＮ代行,白山市,076-274-0251,http://yasukesa.com/shinsengumi/,1,1
277,七福代行,七尾市,0120-388-853,,,
279,パートナー代行運転,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
280,クライム代行 【有限会社室谷合繊】,かほく市,076-285-1289,,,
281,ＫＩＺＵＮＡ代行 【株式会社ｌｉｅｎ】,加賀市,0120-286-256,,2.7,6
282,Ｋちゃん代行 【株式会社オール・ビジネス】,野々市市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
283,アイムワン運転代行 【心育国際株式会社】,金沢市,076-225-7652,https://www.aim-kokusai.co.jp/,4.5,2
284,７３代行,金沢市,070-9016-7373,,,
285,アデイ運転代行 【合同会社アデイ】,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
286,すなちゃん運転代行,羽咋市,080-1953-5962,https://untendaikou.co.jp/ishikawaken/driver-6006,2.1,11
288,あすなろ運転代行,金沢市,076-231-6678,http://dreamdaikou.com/,1,4
289,セフティＯＮＥ代行,金沢市,076-251-9873,,,
290,つかさ運転代行,野々市市,076-249-2070,https://tsukasa-exp.co.jp/,4.3,6
291,だるま運転代行,金沢市,076-257-7556,http://dreamdaikou.com/,2,13
