認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
8,有限会社 チームワーク,福知山市,0773-25-1580,https://www.team-work-apparel.jp/,,
29,新たんご代行,福知山市,0773-45-8177,,3,2
34,安全代行,伏見区,090-6377-0919,https://919-daiko-kyoto.com/,4.1,27
43,宝サービス,西京区,075-863-0858,,,
46,ｍｉ代行,舞鶴市,0120-841-114,,3.8,8
58,代行運転Peace,京丹後市,0120-255-922,,,
65,運転代行みやび,右京区,0120-994-383,https://www.kyoto383.com/,4.5,11
67,庵サービス,亀岡市,0771-56-8550,https://www.instagram.com/sabou_saorian/,5,3
69,オレンジ運転代行,福知山市,0773-45-8177,,3,2
71,ラッキー代行社,亀岡市,080-2956-6473,,2.5,16
79,８８２３（はやぶさ）代行,京丹後市,0120-255-922,,,
84,運転代行クイック 大山崎営業所,乙訓郡大山崎町,090-6377-0919,https://919-daiko-kyoto.com/,4.1,27
85,株式会社翔英 ＥＩ代行福知山営業所,福知山市,0773-22-0194,,4.3,4
86,アシスタント代行運転,八幡市,0120-977-165,,4.3,9
89,福綾代行,綾部市,0773-42-4111,http://www.nihonkotsu.co.jp/,3.4,17
90,代行かごや,伏見区,0120-426-607,https://www.daikoukagoya.com/,4,1
91,ハクション運転代行,伏見区,080-3867-8940,https://www.daikou-kyoto.com/,5,9
94,三葉代行,京丹後市,070-8366-0328,https://www.hotpepper.jp/strJ003958378/,4.5,24
96,運転代行 ＢＲＡＶＥ,左京区,080-2482-9119,https://brave-daiko.com/,4.8,6
97,運転代行 トラスト,南区,090-3882-1919,http://trust-daikou.com/,4.6,9
98,運転代行 エース,左京区,080-9749-5963,https://ace-daikou.com/,4.1,13
100,運転代行パール,木津川市,090-6559-6880,https://daikou-pearl.com/,4.3,13
101,運転代行みなと,舞鶴市,090-8094-5818,http://www.minatoaid.com/,5,38
102,京滋代行サービス,綴喜郡宇治田原町,080-9749-5963,https://www.acedaikou.com/,3.5,4
104,運転代行ナイト,南区,075-634-6634,https://www.eidaikou.com/,4.4,5
105,あんしん代行,福知山市,070-1760-9330,,,
106,SAVER代行,山科区,090-7114-0808,https://saver-daiko.com/,4.2,5
107,ぶんぶん代行,右京区,080-2482-9119,https://brave-daiko.com/,4.8,6
108,幸来代行,綾部市,0120-994-383,https://www.kyoto383.com/,4.5,11
109,運転代行社 安全カエル,宇治市,0120-845-163,,3.8,4
110,大丸総合商事株式会社（大丸代行）,福知山市,0773-45-4488,https://daimaru.sk-style.net/driving_agency.html,,
111,株式会社SENGAコーポレーション（運転代行千雅）,南区,075-501-4300,http://senga.co.jp/,,
112,株式会社英雄（運転代行ヒーロー）,中京区,080-2482-9119,https://brave-daiko.com/,4.8,6
113,Ｆ＆Ａ代行,福知山市,0773-22-0194,,4.3,4
114,エス代行,綾部市,090-7114-0808,https://saver-daiko.com/,4.2,5
115,新しあわせ代行,京丹後市,023-631-7727,,3.3,112
116,相根代行,福知山市,0773-45-8177,,3,2
117,わんわん代行,舞鶴市,0120-692-655,,3.8,5
118,有限会社リフォミック・ジャパン（JIN代行２ND）,伏見区,090-9626-0437,https://www.rifomicjapan.com/jin/,3,4
