認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
1,代行運転ガードマン,四日市市（１０）,070-9180-7878,,5,9
2,運転代行なな,四日市市（１０）,070-8326-3330,,5,7
3,運転代行チェリー,四日市市（１０）,,,,
4,宝運転代行サービス,四日市市（１０）,0120-400-770,http://0120400770.com/,4.3,11
5,運転代行上昇,四日市市（１０）,090-5097-9811,https://x.com/suzakuofficial?s=21,5,3
6,運転代行DAIKOU,四日市市（１０）,0120-400-770,http://0120400770.com/,4.3,11
7,運転代行ハヤイヤカー,四日市市（１０）,0120-400-770,http://0120400770.com/,4.3,11
8,運転代行朱雀,四日市市（１０）,090-5097-9811,https://x.com/suzakuofficial?s=21,5,3
9,運転代行ファースト,四日市市（１０）,070-9180-7878,,5,9
10,ピットイン代行,四日市市（１０）,070-8326-3330,,5,7
11,運転代行ナイト,三重郡菰野町（３）,070-8326-3330,,5,7
12,国土代行,三重郡菰野町（３）,090-3956-0181,http://www.assist-pro.jp/,5,1
13,Ｈ’ｓカンパニー運転代行かもしか,三重郡菰野町（３）,059-327-6555,https://www.kamoshika-douguten.jp/,4.1,97
14,運転代行ドラゴン,亀山市（１）,059-380-6699,,4.7,3
15,代行運転アーネス,鈴鹿市（１３）,080-5819-3739,https://m.facebook.com/toprun.3739,3.4,5
16,富士運転代行,鈴鹿市（１３）,059-380-6699,,4.7,3
17,運転代行トップ,鈴鹿市（１３）,080-5819-3739,https://m.facebook.com/toprun.3739,3.4,5
18,運転代行キング,鈴鹿市（１３）,059-389-7361,,3.3,3
19,運転代行えふわん,鈴鹿市（１３）,059-399-7373,,,
20,ＭＫ代行,鈴鹿市（１３）,059-389-7361,,3.3,3
21,運転代行光,鈴鹿市（１３）,059-389-7361,,3.3,3
22,ＮＥＸＴ運転代行,鈴鹿市（１３）,059-389-7361,,3.3,3
23,運転代行セレクト,鈴鹿市（１３）,059-389-7361,,3.3,3
24,株式会社ツインラン,鈴鹿市（１３）,080-5819-3739,https://m.facebook.com/toprun.3739,3.4,5
25,運転代行チョロ急,鈴鹿市（１３）,,,5,2
26,みけねこ運転代行,鈴鹿市（１３）,,,,
27,フラワー代行,鈴鹿市（１３）,059-389-7361,,3.3,3
28,スリーエイトアクトサービス,津市（１３）,0120-537-139,https://eitoshinko.com/?utm_source=gmybusiness&utm_medium=gmybusiness_tsu&utm_campaign=tsu_top,5,22
29,キャリーロードサービス,津市（１３）,059-213-1188,http://www.cs-kankyo.com/company.html,4.5,2
30,青空,津市（１３）,,,,
31,運転代行エス・ワイ,津市（１３）,090-4864-0343,,1.3,3
32,ＳＯＳ運転代行,津市（１３）,090-4864-0343,,1.3,3
33,はやぶさ運転代行,津市（１３）,090-7436-9739,https://hayabusadaiko.com/,5,1
