認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
2,あさひ代行,長野市大字鶴賀９０番地４,026-264-6358,,3.5,6
12,安全代行,長野市大字鶴賀田町２１７７番地４,0120-326-058,,3.7,6
28,ちとせ代行,長野市大字鶴賀南千歳町９８２,026-227-6933,http://chitosedaico.com/,3.1,21
34,あさひ代行,長野市柳原２１４２番地１,026-264-6358,,3.5,6
37,代行チューリップ,長野市南千歳町２丁目１５番１５号,026-226-6972,,1,5
38,ロイヤル代行,長野市大字南長野妻科１３５番地,026-234-0675,,2,2
45,しなの代行,長野市伊勢宮３丁目１番２５号,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
68,こだま代行,長野市大字鶴賀２１６番地,026-266-7337,,,
122,アッシーくん代行,長野市戸隠豊岡１０２２５番地,,,,
147,代行ウイング,長野市三輪９丁目８番１７号,090-4128-0070,,3.3,6
168,代行イレブン,長野市大字鶴賀西鶴賀町１４７３,026-219-6712,,,
186,シャトル代行,長野市三輪５丁目５番０３０９号,026-244-0850,,2,1
230,代行あっぷる,長野市大字東和田７６３番地１０,090-9823-8472,,5,1
263,スター代行,長野市三輪３丁目２番１号,0120-889-254,,3.5,2
356,代行川合,長野市大字稲葉５４１番地,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
370,サポート代行,長野市,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
373,代行エンドレス,長野市,026-227-6933,http://chitosedaico.com/,3.1,21
374,代行ストロング,長野市大字広瀬５５８番地１,026-227-6933,http://chitosedaico.com/,3.1,21
389,ファースト代行,長野市大字高田８４９番地１,026-214-3811,,,
420,信州代行,長野市,0263-37-1707,,5,3
421,代行ピース,長野市戸隠栃原３１４１番地,,,,
426,令和代行,長野市,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
432,代行Ｅｉｇｈｔｙ８,長野市,026-227-6933,http://chitosedaico.com/,3.1,21
441,Ｍｙ代行,長野市南千歳２丁目１５番１５号,026-227-6933,http://chitosedaico.com/,3.1,21
462,ブロード代行,長野市大字稲葉２４７１番地７,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
474,代行ＭＡＭＡ,長野市大字南長池７６０番地４,,,,
485,代行ななせ,長野市,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
496,コスモ代行,長野市大字鶴賀上千歳町１４１３番地,026-227-6933,http://chitosedaico.com/,3.1,21
497,ネクシア代行,長野市大字高田４２０番地,080-6939-4579,,,
502,代行ながの,長野市大字金箱３８０番地６,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
510,瑠華運転代行,長野市若穂綿内７９５８番地５,,,,
56,代行ゲット,下高井郡木島平村大字往郷１６５９番地,,,,
200,トラスト代行,飯山市大字蓮４２１１,0269-67-0206,,,
220,代行センター,飯山市大字飯山６６４番地１,0269-67-2351,,4.3,3
242,呑んだら代行,中野市大字岩船４４０番地４,0269-38-8008,,4.7,7
351,ＦｕＭｉ代行,下高井郡山ノ内町大字戸狩５７３番地１,,,,
387,代行マタリキ,中野市大字穴田３２０６番地１,,,,
138,翼代行,須坂市豊島２番地２,,,,
221,絆代行,須坂市大字小河原２５８９番地,,,,
245,代行フク,須坂市墨坂南５丁目８番１６号,,,,
354,モンキー代行,須坂市,026-227-6933,http://chitosedaico.com/,3.1,21
362,武蔵代行,須坂市大字須坂立町１３４４番地２,0120-557-634,https://www.musasiuntendaikou.com/,3.4,7
486,ぴぃち代行,須坂市臥竜二丁目２番６号,,,,
490,ZERO代行,上高井郡小布施町大字小布施９１１番地,090-3612-0372,https://zero808.co.jp/zero,4.8,22
49,フリー代行,長野市松代町西条４２５９番地,026-278-5551,,,
51,キング代行,長野市篠ノ井布施高田１１４２番地２５,0120-365-117,,2.5,12
248,デイリー代行,長野市川中島町御厨１９５番地１,026-278-5551,,,
369,代行ハクナ,長野市篠ノ井布施五明３３８番地３,026-293-4579,,4.7,3
379,キング代行Ｇ－１,長野市篠ノ井布施高田１１４２番地２５,0120-365-117,,2.5,12
409,ユニオン代行,長野市,026-227-6933,http://chitosedaico.com/,3.1,21
428,代行アリス,長野市青木島町大塚４９１番地２,,,,
448,ハッピー代行,長野市三本柳西３丁目２０番地,026-226-3939,https://www.sdaikou.co.jp/,3.2,18
477,あすなろ代行,長野市青木島町青木島乙６３７番地１,,,,
491,ももいろ代行,長野市篠ノ井石川1509番地,026-293-4579,,4.7,3
504,代行ネギネギ,長野市篠ノ井有旅６４３６番地,,,,
50,代行ひまわり,千曲市大字稲荷山５１２番地１,026-274-1711,https://lit.link/roukenhimawari,3.7,10
231,代行しののい,千曲市大字上徳間２７９番地１,026-293-4579,,4.7,3
300,代行ゆき,千曲市大字寂蒔６２５番地,,,,
318,むさしの代行,埴科郡坂城町,0268-24-2881,https://kubodaiko.wixsite.com/website,5,5
406,ＧＯＧＯ代行,千曲市大字鋳物師屋６３７番地３,,,,
495,クローバー代行,千曲市若宮６４番地４,026-276-2891,,,
3,下道運転代行社,上田市中之条１０１１番地１０９,070-3159-7290,https://www2.hp-ez.com/hp/sitamitidaikou/page1,3.9,15
18,代行センターあさま,上田市大字中之条１３００番地８,0120-707-007,,4,3
26,つばさ代行,上田市大字下之郷７０４番地５,0120-283-881,,1,2
127,えっちゃん代行,上田市中央北２丁目８番２７号,090-3113-4607,,5,2
148,めいせい代行,上田市,070-3159-7290,https://www2.hp-ez.com/hp/sitamitidaikou/page1,3.9,15
169,あいの代行,上田市蒼久保７５７番地２,0120-038-865,,3.6,11
204,桃太郎代行,上田市芳田１２８２番地,0268-35-5100,,2.3,8
253,セーフティ代行,上田市中央２丁目７番４号,070-3159-7290,https://www2.hp-ez.com/hp/sitamitidaikou/page1,3.9,15
273,代行ゆきむら,上田市真田町本原２７４９番地,,,,
278,正村運転代行社,上田市中央２丁目１８番３４号,0268-22-2616,,2.3,3
328,生島代行,上田市浦野４５８番地７,0268-31-2140,,1.9,7
407,マリア代行,小県郡青木村大字当郷１５９５番地,0120-707-007,,4,3
408,寿代行,上田市緑が丘１丁目２３番１号,086-424-1616,https://www.kotobukidaikou.com/,3.5,39
460,東御代行,東御市加沢５５８番地１,,,1,2
461,久保代行,上田市上田１４０６番地５,0268-24-2881,https://kubodaiko.wixsite.com/website,5,5
472,ワールド代行,東御市滋野乙２９９１番地１４,,,1,2
473,リアル代行,上田市,090-9357-3996,,5,3
481,アプローチ代行,上田市,0268-35-5100,,2.3,8
499,ホース代行,上田市上田１１３０番地１２,090-3113-4607,,5,2
501,Ａエース運転代行,上田市中之条１３００番地４６,090-3113-4607,,5,2
506,エイト代行,東御市祢津1788番地１,,,,
511,ＣＫ代行,上田市,0268-24-2881,https://kubodaiko.wixsite.com/website,5,5
516,リアル代行,上田市,090-9357-3996,,5,3
234,愛、たいら代行,小諸市大字森山５４１番地４,0120-558-934,,3,1
327,Ｂ－ｏｎｅ代行,小諸市,0120-558-934,,3,1
425,Ｍ．Ｔ代行,小諸市大字滋野甲８７１番地１,0120-558-934,,3,1
479,ミヤ代行,小諸市大字山浦２７３番地１,0120-558-934,,3,1
505,三六九運転代行,小諸市,0120-558-934,,3,1
23,ひかり代行,佐久市大字中込３７１３番地４９,0267-64-4888,https://hikaridaiko.jp/,3.4,7
179,代行．サポート,佐久市岩村田４４９６番地５,0120-937-724,,4,5
251,ＰＳ代行ドライビングサービ,佐久市塚原１５７９番地７,0120-781-919,https://www.psdaikou.com/,3.2,39
256,サカ代行サービス,北佐久郡御代田町大字御代田２７１４番地,0120-242-419,,4,2
377,ウエスト代行,佐久市,0267-78-5519,,1,2
415,中央代行,佐久市臼田２２０３番地７,0120-826-782,,1,2
429,代行アクティブ,佐久市御馬寄８９７番地２０,090-8007-2994,,2.9,12
439,結代行,佐久市岩村田２５６９番地１,090-8007-2994,,2.9,12
457,代行オリーブ．Ａ,佐久市高柳２６３番地,090-8572-8451,,,
468,ラーチ代行,佐久市岩村田１３１０番地１,090-8007-2994,,2.9,12
470,代行ななちゃん,佐久市岩村田１９１０番地２,0120-201-926,,,
475,代行ブルー,佐久市根岸181番地７,,,,
488,あんしん代行,佐久市中込２９７９番地１,0120-918-541,,3.5,2
489,黒兎代行,北佐久郡御代田町大字御代田２４２２－５,0120-242-419,,4,2
494,Ｉ．あさま代行,佐久市岩村田1890番地７,0120-201-926,,,
514,うすだＫ代行,佐久市新子田９４６番地６,0120-827-422,https://www.usudadaikou.com/,3.3,3
515,ＨＡＮＥ代行,北佐久郡立科町大字塩沢７８７番地１,070-8800-8080,,,
237,流星代行,北佐久郡軽井沢町,0120-889-693,https://untendaikou.co.jp/naganoken/driver-7141,3.4,9
290,はやぶさ代行,北佐久郡軽井沢町,0120-889-693,https://untendaikou.co.jp/naganoken/driver-7141,3.4,9
360,プレミアム代行,北佐久郡軽井沢町大字発地１６６番地５,0120-550-402,,3.3,13
144,あい運転代行,茅野市大字中大塩１１番地２０,0120-038-865,,3.6,11
344,銀河運転代行,茅野市宮川１３８７番地６,0120-712-415,http://www.lhouse.co.jp/,4.6,136
392,あい運転代行合同会社,茅野市中大塩１２番地６,0120-038-865,,3.6,11
467,運転代行さくら,茅野市中大塩8番地６,0120-038-865,,3.6,11
500,ばいくる代行,茅野市,,,,
422,ドライブアシスト運転代行,諏訪市四賀赤沼１６７１,0266-84-0461,https://lin.ee/frgNjLP,5,3
444,ＳＫ代行,諏訪市四賀９０番地１,0266-53-1130,http://www.suwakotsu.com/skd.html,1,2
465,絢瀬代行,諏訪市,0266-78-6390,https://untendaikou.co.jp/naganoken/driver-9870,,
22,有限会社エース代行岡谷,岡谷市堀ノ内１丁目１９番３号,0266-22-9227,,4.7,7
368,平成代行,岡谷市赤羽１丁目５番２４号,0266-55-5332,,1,2
175,もみじ運転代行,上伊那郡箕輪町大字中箕輪１０３６４番地,080-3397-6707,,,
259,与作運転代行,伊那市上牧６４７８番地９,0120-439-114,,3,6
280,伊北代行,上伊那郡箕輪町大字中箕輪１４７１２番地,0120-791-493,,,
294,松チャン運転代行,上伊那郡南箕輪村１７３３番地３,0265-73-6545,,4.3,6
438,南信代行ｓｅｒｖｉｃｅ,伊那市上の原５３４７－６,0265-96-0117,,4.7,3
492,コスモ代行,伊那市中央５１５５番地１,0265-73-9513,,4.2,6
503,月光運転代行,伊那市富県４９１０番地３,080-6934-2211,https://gecko-daiko.com/,3.7,3
298,こま代行,駒ケ根市赤穂１２８２３番地１,0265-81-6446,,3.3,3
357,代行,駒ケ根市上穂南５番２２号,0265-81-6446,,3.3,3
412,ＳＫＹ代行,駒ケ根市中沢１２７０２番地５,0265-83-0479,https://night-daikou.wepage.com/,,
509,ナイト代行,駒ヶ根市,0265-83-0479,https://night-daikou.wepage.com/,,
85,ドリーム運転代行,下伊那郡高森町,0265-49-8801,https://www.facebook.com/ace.daikou.iida/,4,8
152,シティー代行,飯田市大瀬木４１０９番地１,0265-25-3900,http://city-daiko.com/,3.3,8
440,飯田運転代行センター,飯田市北方２２９番地３,0265-49-8801,https://www.facebook.com/ace.daikou.iida/,4,8
482,深夜代行,飯田市龍江４５番１,070-8386-9467,,5,7
487,Ｋ．Ｔ代行,飯田市,0265-49-8801,https://www.facebook.com/ace.daikou.iida/,4,8
493,エース代行飯田,飯田市鼎名古熊２５４１－１,0265-49-8801,https://www.facebook.com/ace.daikou.iida/,4,8
508,ヒッシー代行,飯田市,0265-49-8801,https://www.facebook.com/ace.daikou.iida/,4,8
271,代行ＳＳＳ（スリーエス）,塩尻市大字下西条６６０番地３,0263-54-7713,,,
349,みどり代行,塩尻市大字大門７１番地４,0263-52-3831,,2.8,12
31,中信代行,松本市野溝東１丁目５番４４号,0120-263-290,https://www.chushin-untendaikou.com/,3.6,14
78,しなの代行,松本市女鳥羽２丁目４番２９号,0263-87-1310,,1,1
199,あさひ代行,松本市村井町西１丁目８番５０号,,,,
239,信州運転代行,松本市巾上２番１号,0263-37-1707,,5,3
308,エスコート企画,松本市大字島立６１８番地６,080-2254-0900,,,
310,千円信代行,松本市井川城２丁目２番５号,0263-37-1707,,5,3
315,代行本舗,松本市大字島立５６８番地１,090-5303-2468,https://100yen-daikou.jp/,4.9,44
331,グッドセーフティー代行,松本市,0263-37-1707,,5,3
337,ＡＢＣ代行,松本市大字島内４２５３番地１３,0120-910-116,,3.5,2
358,エース代行,松本市深志３丁目１番２５号,0263-87-3899,,2.3,3
361,サンキュー代行,松本市大字松原５１番地１０,0263-37-1707,,5,3
371,アイランドドライブ代行,松本市大字島内２１９２番地２,090-3143-2225,https://daikonavi.com/nagano/t009254/,,
383,代行青山,松本市浅間温泉３丁目１７番８号,090-5303-2468,https://100yen-daikou.jp/,4.9,44
404,みひろ運転代行,松本市,090-5303-2468,https://100yen-daikou.jp/,4.9,44
405,常真・つかさ代行,松本市,090-2622-9698,https://akstylesince2012.wixsite.com/tukasa-daikou,4,4
411,りんご代行,松本市城西１丁目７番１８号,0263-37-1707,,5,3
413,おっけー代行,松本市大字島立９９１番地４,0263-87-9977,,2,7
419,ウルス代行,松本市村井町南１丁目１番６号,0263-37-1707,,5,3
423,あい代行,松本市大手１丁目２番１５号,090-3143-2225,https://daikonavi.com/nagano/t009254/,5,1
424,ＳＵＮ代行,松本市村井町南１丁目１０番１６号,0263-37-1707,,5,3
437,代行天膳,松本市松本市野溝西２丁目１３番１０号,090-5303-2468,https://100yen-daikou.jp/,4.9,44
447,Ｄ’Ｕ代行,松本市井川城２丁目１４番１３号,090-5303-2468,https://100yen-daikou.jp/,4.9,44
454,R＆S運転代行,松本市寿北１－１６－３４,0263-37-1707,,5,3
455,ＦＫＧｏＧｏ代行,松本市,090-5303-2468,https://100yen-daikou.jp/,4.9,44
483,トッピッピース,松本市,0263-26-8453,https://www.topy-ep.co.jp/,4,2
498,１００えん代行本店,松本市,090-5303-2468,https://100yen-daikou.jp/,4.9,44
507,運転代行シトリン,松本市寿北７丁目１番15号,0263-37-1707,,5,3
512,リーフ運転代行,松本市北深志２丁目４番１３号,0263-37-1707,,5,3
9,あづみ野代行,安曇野市穂高柏原３８４６番地４,0120-824-563,https://aduminodrive.bsj.jp/,4,11
393,ＱＵＩＣＫ代行,安曇野市豊科４６８１番地７,0263-31-5268,https://www.quickdaiko919.com/,3.9,14
417,クローバー運転代行,東筑摩郡筑北村７６４番地４,,,,
513,バイタル,安曇野市豊科５９４６番地２,0263-72-9627,https://ryuku.jimdofree.com/,4.2,16
42,大町代行,大町市大町２１４７番地,0261-23-0388,,5,1
59,白馬安全代行,北安曇郡白馬村大字北城２４４３番地１,0120-898-841,http://www.windy-kobeya.com/anzendaikou/,3,4
272,あずさ代行,北安曇郡池田町大字池田２９７９番地３１,0261-62-1919,,5,4
346,カモシカ代行,大町市常盤３７４２番地６,0261-85-4742,,,
450,Ｆａｓｔ代行,大町市大町３２８９番地６,0261-85-4742,,,
452,あおい代行,大町市常盤５４４４番地,090-3766-7078,https://instagram.com/aoidaikou?igshid=YmMyMTA2M2Y=,4,1
453,松川代行,北安曇郡松川村５７２１番地２０８９,0261-62-1919,,5,4
