認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
460003,中央代⾏新潟,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460074,(有)コバト交通 （はと代⾏）,新潟市中央区,025-287-1121,https://www.hatotaxi.jp/company,1,2
460087,アポロ運転代 ⾏社,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460208,ホワイト代⾏ 社,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460277,ドリーム代⾏,新潟市中央区,025-290-7955,https://job-gear.net/dreamassist/company_information_d.htm?L=BCSDetail&ID=AD0821667878,5,14
460331,昭和代⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460377,フラッシュ代 ⾏,新潟市中央区,0120-687-758,,4.3,6
460418,(株)SDC（SDC 代⾏センター）,新潟市中央区,0256-47-0500,,2.3,19
460434,SS運転代⾏,新潟市中央区,0120-687-758,,4.3,6
460461,(株)新潟第⼀Ｓ ｅｒｖｉｃｅ （新潟第⼀運 転代⾏）,新潟市中央区,,,,
460465,飲んだら代⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460471,新潟運転代⾏ 帰宅便,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460472,テンピークス代 ⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460559,YK代⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460560,88運転代⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460562,(株)中央代⾏新 潟,新潟市中央区,025-284-1000,http://chuo-g.jp/,4.4,5
460613,ふるまち代⾏,新潟市中央区,025-225-7001,https://furumachi.co.jp/,4.4,14
460615,あやめ運転代 ⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460619,柳都運転代⾏,新潟市中央区,080-8160-2613,,1,1
460623,Niigata Chauffeur Service,新潟市中央区,025-284-4135,,5,1
460624,萬代運転代⾏,新潟市中央区,0120-800-531,,,
460633,越後代⾏,新潟市中央区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460204,ひまわり代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460261,彗星代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460301,新潟代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460423,バーディー代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460563,共和代⾏,新潟市東区,025-273-2361,http://kyowasuisan.co.jp/,3.5,4
460597,トップ代⾏,新潟市東区,025-271-4554,https://www.top-auto.co.jp/,4.4,23
460612,アップル代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460626,代⾏Hondells,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460631,ＢｏｎＢｏｎ 運転代⾏,新潟市東区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460205,新潟⻄代⾏,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460211,ｋｉｋｉ代⾏ 社,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460230,PKS運転代⾏,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460457,エンジェル代 ⾏,新潟市⻄区,025-255-5500,http://vip-d-a.chu.jp/angel/home/home.html,3,39
460464,ＩＣ⽔都,新潟市⻄区,,,3.1,25
460498,代⾏屋⼩町,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460502,(株)クリア（ク リア代⾏新潟）,新潟市⻄区,025-377-7703,http://cleardaikou460502.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,3.3,3
460549,令和⻄代⾏,新潟市⻄区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460556,(株)KTM（とき 代⾏）,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460579,オレンジ代⾏,新潟市⻄区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460600,ユアーズ代⾏,新潟市⻄区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460607,Ｔ‧Ｔ代⾏,新潟市⻄区,025-385-6290,https://www.tandtniigata.com/,4.6,5
460610,ホワイト代⾏,新潟市⻄区,080-8122-2365,https://niigata-ykdaikou.com/,4.6,9
460632,Ａｎｇｅｌ代 ⾏,新潟市⻄区,025-255-5500,http://vip-d-a.chu.jp/angel/home/home.html,3,39
460530,合同会社トラ スト（さくら 代⾏）,新潟市江南区,025-240-3918,https://sakura-trust.jp/,4.5,2
460605,株式会社代⾏ 新⻲（代⾏Ｎ ｉｉＫａｍｅ）,新潟市江南区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460625,ツバサ代⾏,新潟市江南区,0256-64-7489,,3.2,10
460143,トマト運転代 ⾏,新潟市北区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460302,常誠代⾏,新潟市北区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460404,未来代⾏,新潟市北区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460477,新潟東代⾏,新潟市北区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460417,新潟コミタス 代⾏,新潟市北区,,,,
460581,ノース代⾏,新潟市北区,080-6427-1984,https://daikonavi.com/niigata/t012900/,4.2,32
460582,(株)セーフティ ECO（令和代 ⾏）,新潟市北区,025-383-6056,https://safety-eco.com/,1,1
460627,ハマタクシー 株式会社（ハ,新潟市北区,025-259-2551,https://www.hamataxi.co.jp/,2.9,49
