認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
第２号,びわこ代行運転,東近江市御園町,0748-24-0097,http://biwakodaiko.main.jp/,3,4
第３号,セイフティー代行,近江八幡市末広町,080-9999-8787,,4.8,10
第４号,ナウ代行サービス（有）,高島市新旭町旭,0740-37-0515,,,
第８号,（有）プロテック・アエイ,野洲市西河原,0120-090-915,https://aei.co.jp/,5,1
第１１号,八日市代行社,東近江市高木町,080-6087-2023,https://www.instagram.com/senka.2023?igsh=cmV2bHhxcm1peW9s,5,1
第４２号,ドリーム運転代行,甲賀市水口町水口,0120-653-625,,3,3
第４４号,ジャパン代行,彦根市後三条町,080-7819-7663,,5,1
第５６号,ひまわり代行,近江八幡市白鳥町,0748-31-2623,,3.3,3
第７０号,トップ,野洲市北野,0120-935-481,https://topnouki.com/,4.8,89
第９０号,TＹ運転代行,湖南市下田,0120-678-178,,5,2
第１０６号,（株）Ｎｅｗ Ｓｔａｒ運転代行,長浜市上野町,070-5697-3086,https://www.instagram.com/ichigo.untendaikou,5,4
第１０８号,幸代行,大津市伊香立下龍華町,070-1831-9445,https://asobi-group.co.jp/driver-service/,4.6,8
第１１９号,アクセス運転代行,栗東市綣,090-3612-0372,https://zero808.co.jp/zero,4.8,22
第１２１号,ＴＲＹ運転代行,東近江市小今町,0748-24-0097,http://biwakodaiko.main.jp/,3,4
第１２２号,ベスト代行,近江八幡市安土町西老蘇,080-9999-8787,,4.8,10
第１２３号,ｙａｚｏｓａｎ運転代行,甲賀市土山町鮎河,0120-653-625,,3,3
第１２４号,四つ葉運転代行,湖南市岩根,0120-678-178,,5,2
第１３６号,あかね運転代行,東近江市市子殿町,0748-55-4085,,4.5,33
第１４７号,すずか運転代行社,甲賀市甲賀町神,0120-653-625,,3,3
第１５７号,ハナハナ代行運転,近江八幡市安土町桑実寺,080-9999-8787,,4.8,10
第１６５号,とまと代行,守山市守山,080-2428-1010,https://tomatodaikou.com/,3.1,15
第１６６号,運転代行かがやき,野洲市堤,077-514-9096,https://www.instagram.com/0131.hsp/,,
第１７４号,騾馬,守山市石田町,080-6219-2177,https://lit.link/daikolover,5,3
第１７５号,PLUS運転代行,近江八幡市緑町,080-9999-8787,,4.8,10
第１７７号,エール代行,東近江市種町,080-4018-8008,,2.3,3
第１８０号,クローバー代行サービス,長浜市神照町,,,,
第１８１号,かえる代行,東近江市五個荘七里町,080-4018-8008,,2.3,3
第１８４号,隼代行,彦根市宇尾町,090-9339-0010,https://untendaikou.co.jp/shigaken/driver-4326,5,4
第１８６号,蔵ｚｏｕ代行,湖南市岩根,0748-60-5227,http://jizake-kurazou.com/,3.1,21
第１８８号,フクロウ運転代行,守山市大門町,080-8539-2441,https://www.hukuroudaikou.com/,3.7,6
第１９２号,ＡＢ運転代行サービス,湖南市岩根,0120-678-178,,5,2
第１９３号,運転代行ナイトライダー,大津市坂本,090-3612-0372,https://zero808.co.jp/zero,4.8,22
第１９７号,マルキュウ代行,草津市矢橋町,0800-777-5509,,,
第１９８号,デルタ代行,栗東市荒張,,,,
第１９９号,ハイエナ運転代行,草津市矢倉,080-3866-8187,https://ハイエナ運転代行.com/,4.7,29
第２００号,（株）ＺＥＲＯ,栗東市下鈎,077-552-6677,,5,1
第２０１号,Ｗｉｌｌ代行,彦根市南川瀬町,090-9339-0010,https://untendaikou.co.jp/shigaken/driver-4326,5,4
第２０３号,HAAKEN代行,草津市南笠東,080-3866-8187,https://ハイエナ運転代行.com/,4.7,29
第２０５号,運転代行フリーダム,栗東市安養寺,080-3789-2240,https://www.instagram.com/freedom__2240/profilecard/?igsh=MWE5Y2w2enM3ZnNiZA==,4.6,10
第２０７号,だるま代行,彦根市日夏町,090-9339-0010,https://untendaikou.co.jp/shigaken/driver-4326,5,4
第２１０号,和代行,近江八幡市安土町常楽寺,080-9999-8787,,4.8,10
第２１２号,Ａ－Ｓ代行,彦根市川瀬馬場町,090-9339-0010,https://untendaikou.co.jp/shigaken/driver-4326,5,4
第２１３号,みつばち運転代行,守山市古高町,,,,
第２１５号,Ｋ ｏｆｆｉｃｅ,湖南市柑子袋東,070-8564-2264,http://katayamakikaku.com/12304k-office201953489212305.html,,
第２１６号,アクア代行,彦根市南川瀬町,080-2508-1215,,5,1
第２１８号,淡海運転代行,草津市野路,080-3866-8187,https://ハイエナ運転代行.com/,4.7,29
第２２０号,セブン,大津市坂本,077-579-5305,http://www.sej.co.jp/,3,57
第２２２号,あおぞら代行,長浜市八幡東町,,,,
