認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
4,ひよこ代行,高岡,0766-24-3080,,3.7,3
5,有限会社新和サービス商会（しんわ代行）,高岡,0766-25-2772,,1,24
6,Ｄ．Ｄ．Ｓ,射水,0766-52-6549,,4.7,3
10,ことぶき代行,砺波,0120-445-233,,3.8,9
16,富士代行,魚津,0765-24-2437,,3.4,5
25,マリン代行,氷見,0766-72-1312,,3.7,3
36,ふちゅう代行,富山西,,,,
42,上滝代行,富山中央,076-435-1339,,,
62,有限会社ササヨシ（ササヨシ運転代行）,富山南,076-493-4771,,1.7,6
64,エコー運転代行,富山西,076-441-1626,,3,1
66,アルプス代行,上市,,,,
74,アイリス代行,氷見,0766-91-7770,,4,4
75,フラワー代行,高岡,0120-390-605,,2.8,5
82,丸の内代行運転,富山中央,076-423-6857,,,
94,ニコニコ代行,富山西,076-482-4470,,2.5,2
99,有限会社マックス,高岡,0766-67-5070,http://matsutani-g.co.jp/,5,1
106,アジア代行,富山中央,076-479-2580,,2,9
112,小矢部代行,小矢部,0120-681-602,,3,2
127,ＳＳ商事代行部,富山西,076-438-7355,,3.5,4
128,Ｇ・Ｍ代行,滑川,0120-188-927,http://gm-kotsu.jp/,3.8,13
154,セーフティ代行,高岡,0766-21-9591,,2.1,7
156,あさくら代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
169,ゼロ代行,富山中央,076-413-8818,,,
182,すばる代行,高岡,0766-63-4288,,,
183,ぴよぴよ代行,富山南,090-8966-5039,,3.1,9
192,めおと代行運転サービス,富山西,076-442-2271,https://smile-daikou.com/,2.7,11
202,アルファ代行,高岡,076-438-3303,,2,3
223,龍代行,南砺,0120-422-293,,3.5,8
233,田中代行,富山南,,,1,1
247,ヒデちゃん代行,魚津,090-3290-7789,,5,1
252,ニコちゃん代行,黒部,,,4,1
258,かご家代行,富山西,076-492-7008,,5,1
261,ＪＯＹ代行,滑川,,,,
264,ふるさと代行,上市,076-413-4844,http://tymd.jp/,1,1
265,有限会社大田建材運輸（Ｓｍｉｌｅ）,富山中央,076-429-6300,https://www.kenzai-tr.co.jp/,3,2
272,Ｓｅｃｒｅｔ代行,射水,0120-053-623,,2.7,3
273,アルファー代行,富山中央,076-438-3303,,2,3
274,サンダーバーズ代行,富山南,076-422-2219,http://www.thunder-birds-daikou.com/,1.9,12
275,クール代行,富山中央,076-493-5553,,5,4
277,ホタルイカ代行,富山中央,,,1,2
284,運転代行社ブルーバード,富山中央,076-413-7211,http://kbs-corp.net/business/daikou,2.6,14
289,ＣＭ運転代行,富山中央,076-493-5553,,5,4
296,ひみ代行,氷見,0766-72-6122,,4,2
302,大月代行,富山中央,076-432-7979,,5,2
304,クロバ代行２,富山中央,076-413-7211,http://kbs-corp.net/business/daikou,2.6,14
308,ハート代行,富山西,080-1969-4321,https://sites.google.com/view/heartdaikou,,
315,高陵代行,高岡,0120-401-200,,1,1
328,ＧＯＧＯ代行,富山中央,,,,
340,アレックス代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
343,株式会社ＫＢＳコーポレーション （運転代行ＫＵＲＯＢＵＴＡ）,富山中央,076-413-7211,http://kbs-corp.net/business/daikou,2.6,14
346,フェイス代行,砺波,0763-33-4739,,4,4
347,城南交通株式会社（城南代行）,富山南,076-491-3863,https://www.j-kotsu.com/,1.9,19
348,Ｈａｐｐｙ代行,富山西,076-441-1944,http://www.kk-nissei.com/,3.6,13
351,Ｔ・Ｓ代行,富山西,,,,
355,８４運転代行,富山南,,,,
357,Ｅ－代行,富山南,,,,
358,まいど代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
359,マイティ代行,射水,0766-52-5204,,5,1
360,ＢＵＢＵ代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
362,高岡１０８代行,高岡,0120-401-200,,1,1
363,ＡＢＣ代行,高岡,0766-25-2772,,1,24
370,丸神代行,富山西,,,1,2
371,ピンズ代行,上市,,,,
376,株式会社ａｑｕａ（ａｑｕａ北陸）,魚津,0765-23-0344,,,
381,ＭＵＵＮ代行,上市,0120-524-160,,1,2
385,有限会社グリーン商事（グリーン代行）,砺波,0120-541-239,,3.3,8
387,あっぷる代行,魚津,0765-23-4004,,3,2
393,ＰＲＥＭＩＵＭ ＶＩＰ代行,富山中央,076-413-8818,,,
394,株式会社ＴＭＴサービス（ダイヤモンド代行）,富山中央,076-442-2963,http://www.tmtservice.co.jp/,2.3,6
400,運転代行社バッテリー,高岡,0766-63-8000,http://max-corp.info/,2.9,16
401,Ｅ，Ｙ運転代行,富山南,,,,
402,ＢＩＧ ＭＯＯＮ,富山中央,,,,
404,昭和代行,黒部,080-8999-7384,,,
411,Ｐ・Ｆ代行,富山中央,076-451-1773,,,
414,運転代行まいったー,射水,0766-52-5204,,5,1
415,キャッシュバック代行,富山中央,076-443-1189,https://www.cabadaikou.com/,,
416,Ａ代行,高岡,0766-63-8000,http://max-corp.info/,2.9,16
418,Ａｃｔｉｎｇ,富山南,076-429-1822,http://www.minami-h.tym.ed.jp/,,
421,あい代行,富山南,090-8966-5039,,3.1,9
422,レインボー代行,高岡,0766-63-8000,http://max-corp.info/,2.9,16
423,ヤマト代行,富山中央,076-413-8818,,,
424,株式会社酔助代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
428,ＬｉｑｕｏｒＢｕｄｄｙ代行,上市,,,,
434,Ｇ．Ｉ商事株式会社（げんちゃん代行）,高岡,0766-92-2555,http://g-i-shoji2555.com/,2.6,5
435,合同会社アシスト,高岡,0766-28-8555,https://www.haken-assistyou.com/,4,5
436,めんどり代行,高岡,0120-751-788,,4.2,5
438,日星代行運転,富山中央,076-441-1944,http://www.kk-nissei.com/,3.6,13
440,ふしき代行,高岡,0766-75-3555,,1,1
441,アーバン代行,富山西,076-465-5521,,5,1
442,ハロー代行,滑川,0120-188-927,http://gm-kotsu.jp/,3.8,13
443,たくみ代行運転サービス,富山南,,,,
444,ＬＩＮＥ代行,富山中央,076-413-8818,,,
447,Peach代行,富山中央,080-1952-0368,,2.3,12
448,ファミリイー代行,高岡,0766-92-2833,,,
451,いちご代行,上市,076-441-1944,http://www.kk-nissei.com/,3.6,13
453,新栄くろべ代行,黒部,080-8999-7384,,,
456,Ｆ代行,富山南,076-451-1773,,,
457,ＭＡＥＫＥＮ代行,富山中央,076-413-8818,,,
458,ＫＡＴＵＣＨＡＮ代行,富山中央,076-413-7211,http://kbs-corp.net/business/daikou,2.6,14
460,永合同会社（プライム代行）,上市,076-472-2525,,,
461,立山町46代行,上市,,,,
462,夢代行,高岡,0766-25-7226,,4,1
463,帰りは代行,高岡,0766-63-8000,http://max-corp.info/,2.9,16
464,Ｏ.ＫⅡ代行,富山西,090-8966-5039,,3.1,9
465,かえる急便代行,富山中央,076-493-5553,,5,4
467,マーク代行,富山南,076-442-2271,https://smile-daikou.com/,2.7,11
470,ＴＯＹＡＭＡ代行,富山南,076-413-4844,http://tymd.jp/,1,1
471,ＲＯＣＫ代行,高岡,0120-751-788,,4.2,5
472,ひめちゃん代行,富山南,090-3290-7789,,5,1
473,國士舘代行,富山中央,076-441-5478,https://www.google.com/search?q=%E5%9B%BD%E5%A3%AB%E8%88%98%E4%BB%A3%E8%A1%8C&sca_esv=5471e4d8c457d32d&ei=ANv4ZYurNMG70-kPqOSK0A4&ved=0ahUKEwiLq-fdh_-EAxXB3TQHHSiyAuoQ4dUDCBA&uact=5&oq=%E5%9B%BD%E5%A3%AB%E8%88%98%E4%BB%A3%E8%A1%8C&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-WbveWjq-iImOS7o-ihjDIFEAAYgARItyFQ3wxYoBNwAXgAkAEAmAGDAaABgQOqAQMwLjO4AQPIAQD4AQGYAgSgApMDwgIIEAAYgAQYsAOYAwCIBgGQBgGSBwMxLjOgB78C&sclient=gws-wiz-serp,4.3,3
475,ナイト代行２,富山西,076-454-6409,,3,2
478,フリーダム代行,富山南,,,,
480,ラッキー代行,高岡,0766-25-4138,,,
481,中央代行,富山中央,076-413-8818,,,
482,大映代行運転,富山南,076-425-2928,,,
483,やぎちゃん代行,富山西,090-8966-5039,,3.1,9
484,株式会社チームタカ,富山中央,090-3762-3366,,1,15
485,いち・に・さん代行,富山西,076-441-1944,http://www.kk-nissei.com/,3.6,13
486,マリン代行２,富山南,076-424-5673,https://untendaikou.co.jp/toyamaken/driver-8134,2.3,3
487,東部代行,滑川,0887-56-3444,,2.5,8
489,BOBchan代行,射水,0766-82-4996,https://yoishodaiko.com/,3.5,14
490,クリーンS合同会社 (クリーンＳ代行),魚津,0765-23-0390,,2.3,4
491,ドキドキ代行,富山中央,070-3410-7800,https://z8fop.hp.peraichi.com/self_hair_removal_salon_site_1p_1/,,
492,スタジアム代行,富山中央,076-441-5478,https://www.google.com/search?q=%E5%9B%BD%E5%A3%AB%E8%88%98%E4%BB%A3%E8%A1%8C&sca_esv=5471e4d8c457d32d&ei=ANv4ZYurNMG70-kPqOSK0A4&ved=0ahUKEwiLq-fdh_-EAxXB3TQHHSiyAuoQ4dUDCBA&uact=5&oq=%E5%9B%BD%E5%A3%AB%E8%88%98%E4%BB%A3%E8%A1%8C&gs_lp=Egxnd3Mtd2l6LXNlcnAiD-WbveWjq-iImOS7o-ihjDIFEAAYgARItyFQ3wxYoBNwAXgAkAEAmAGDAaABgQOqAQMwLjO4AQPIAQD4AQGYAgSgApMDwgIIEAAYgAQYsAOYAwCIBgGQBgGSBwMxLjOgB78C&sclient=gws-wiz-serp,4.3,3
